,Emma,Harriet,Elton,Weston,Knightley,Jane,Woodhouse,Frank Churchill,Miss Bates,Jane Fairfax
Emma,0.0,0.003891425385972998,0.009419856593248866,0.004211541087818577,0.0024115202857337,0.003814323653818023,0.0020637799623084334,0.001275962503344349,0.002454426986021293,0.000996882721586844
Harriet,0.003891425385972998,0.0,0.12140937810236052,0.08669637161135657,0.06124576234773209,0.01660359734867336,0.023178752475844073,0.01268132367004254,0.021047728230458255,0.012798379637709262
Elton,0.009419856593248866,0.12140937810236052,0.0,0.1776334380597131,0.15388262442206108,0.04542093474243776,0.027574188305209853,0.03207791080209688,0.02006778413754095,0.02444372008831973
Weston,0.004211541087818577,0.08669637161135657,0.1776334380597131,0.0,0.02478220573070503,0.032692365663737594,0.009608030418922796,0.00906468970107838,0.013011566816596556,0.010096190574904412
Knightley,0.0024115202857337,0.06124576234773209,0.15388262442206108,0.02478220573070503,0.0,0.04619795374514384,0.014727693602880568,0.010783435425601444,0.01140047239357964,0.012382181376062635
Jane,0.003814323653818023,0.01660359734867336,0.04542093474243776,0.032692365663737594,0.04619795374514384,0.0,0.1803835593041842,0.045359182029812144,0.05337925497224946,0.04052150617621255
Woodhouse,0.0020637799623084334,0.023178752475844073,0.027574188305209853,0.009608030418922796,0.014727693602880568,0.1803835593041842,0.0,0.11443576081885626,0.047870162451111635,0.050122486898083046
Frank Churchill,0.001275962503344349,0.01268132367004254,0.03207791080209688,0.00906468970107838,0.010783435425601444,0.045359182029812144,0.11443576081885626,0.0,0.06378343528975303,0.07342526882510272
Miss Bates,0.002454426986021293,0.021047728230458255,0.02006778413754095,0.013011566816596556,0.01140047239357964,0.05337925497224946,0.047870162451111635,0.06378343528975303,0.0,0.08728989049954929
Jane Fairfax,0.000996882721586844,0.012798379637709262,0.02444372008831973,0.010096190574904412,0.012382181376062635,0.04052150617621255,0.050122486898083046,0.07342526882510272,0.08728989049954929,0.0
