,Emma,Harriet,Elton,Weston,Knightley,Jane,Woodhouse,Frank Churchill,Miss Bates,Jane Fairfax
Emma,0.0,0.00450665573340259,0.01087431810152379,0.004227915891753968,0.0028961347684320193,0.004721438549467449,0.002103543995961007,0.0015467248105672086,0.002610514545389993,0.0011380405328335588
Harriet,0.00450665573340259,0.0,0.15025184437409403,0.09702941803853508,0.07853486410270544,0.021331314292469202,0.02099524708754627,0.013178962823008874,0.020753887251415665,0.015341580305541173
Elton,0.01087431810152379,0.15025184437409403,0.0,0.21405047006893188,0.20039603659234748,0.060021518192776825,0.027653191542532034,0.04073635229783162,0.022269700145084288,0.03133973434983807
Weston,0.004227915891753968,0.09702941803853508,0.21405047006893188,0.0,0.03242106938703784,0.0415391231293534,0.011110725453726251,0.011499982630210168,0.0166327672466266,0.012475877540716034
Knightley,0.0028961347684320193,0.07853486410270544,0.20039603659234748,0.03242106938703784,0.0,0.05866999673268844,0.014425843857473425,0.012978016296073418,0.013079123024446745,0.014255079108458512
Jane,0.004721438549467449,0.021331314292469202,0.060021518192776825,0.0415391231293534,0.05866999673268844,0.0,0.19615451004240972,0.04972921756086489,0.05210767180941331,0.04401352979031509
Woodhouse,0.002103543995961007,0.02099524708754627,0.027653191542532034,0.011110725453726251,0.014425843857473425,0.19615451004240972,0.0,0.143292743301078,0.05902335789851242,0.06136951246834818
Frank Churchill,0.0015467248105672086,0.013178962823008874,0.04073635229783162,0.011499982630210168,0.012978016296073418,0.04972921756086489,0.143292743301078,0.0,0.07063252252514127,0.08124415614027414
Miss Bates,0.002610514545389993,0.020753887251415665,0.022269700145084288,0.0166327672466266,0.013079123024446745,0.05210767180941331,0.05902335789851242,0.07063252252514127,0.0,0.09482444858719768
Jane Fairfax,0.0011380405328335588,0.015341580305541173,0.03133973434983807,0.012475877540716034,0.014255079108458512,0.04401352979031509,0.06136951246834818,0.08124415614027414,0.09482444858719768,0.0
