,Crawford,Thomas,Rushworth,Norris,William,Grant,Lady Bertram,Maria,Susan,Tom
Crawford,0.0,0.057465844608201005,0.009884397758345296,0.02577728614378672,0.012212017643437403,0.011315366193920292,0.010215902511245135,0.007962928837800603,0.02471800296182215,0.017179693135056073
Thomas,0.057465844608201005,0.0,0.08425970835361904,0.011593458048130037,0.04105720376245324,0.020492448408235393,0.0053097076439582525,0.05784712219569464,0.09117995335956702,0.055989369235457526
Rushworth,0.009884397758345296,0.08425970835361904,0.0,0.26438446815905825,0.20982942538453603,0.04900996574799381,0.11690252893521276,0.055599608334484324,0.07962923362185412,0.05594237046975746
Norris,0.02577728614378672,0.011593458048130037,0.26438446815905825,0.0,0.07437116544604927,0.2443577730568911,0.04278464384054692,0.20018099026966993,0.257910768841887,0.15645676716455215
William,0.012212017643437403,0.04105720376245324,0.20982942538453603,0.07437116544604927,0.0,0.3662023608818265,0.11378026962426918,0.32160267337435555,0.36343861471621386,0.23329652905208836
Grant,0.011315366193920292,0.020492448408235393,0.04900996574799381,0.2443577730568911,0.3662023608818265,0.0,0.11494233028904935,0.18786269403580375,0.21942394585742186,0.16347520383488007
Lady Bertram,0.010215902511245135,0.0053097076439582525,0.11690252893521276,0.04278464384054692,0.11378026962426918,0.11494233028904935,0.0,0.3173053546412152,0.31545272310055955,0.22791599251527528
Maria,0.007962928837800603,0.05784712219569464,0.055599608334484324,0.20018099026966993,0.32160267337435555,0.18786269403580375,0.3173053546412152,0.0,0.09257487346662778,0.05602842068800715
Susan,0.02471800296182215,0.09117995335956702,0.07962923362185412,0.257910768841887,0.36343861471621386,0.21942394585742186,0.31545272310055955,0.09257487346662778,0.0,0.1821180247254614
Tom,0.017179693135056073,0.055989369235457526,0.05594237046975746,0.15645676716455215,0.23329652905208836,0.16347520383488007,0.22791599251527528,0.05602842068800715,0.1821180247254614,0.0
