,Crawford,Thomas,Rushworth,Norris,William,Grant,Lady Bertram,Maria,Susan,Tom
Crawford,0.0,0.054336530767487824,0.008750502315614457,0.02731627396713017,0.011963475618550809,0.00995244228085578,0.009665091950743526,0.006957542903859122,0.021366169575333424,0.014913226901869279
Thomas,0.054336530767487824,0.0,0.07429140052084063,0.010659159536726958,0.03699575214593578,0.01824840418203199,0.004817731085405511,0.05043425973796499,0.07881003975197653,0.04881967658002775
Rushworth,0.008750502315614457,0.07429140052084063,0.0,0.25611434593432003,0.20214513589859284,0.04583185509792777,0.11517699762869645,0.049229452347698675,0.06850169633427466,0.04958033942918391
Norris,0.02731627396713017,0.010659159536726958,0.25611434593432003,0.0,0.06651823865233604,0.2180715431058652,0.03772914054925651,0.18213726851573422,0.22862628832505633,0.13747240323222276
William,0.011963475618550809,0.03699575214593578,0.20214513589859284,0.06651823865233604,0.0,0.3334899664650519,0.1005578698224292,0.29447009894348053,0.3219801894651436,0.20526990956037772
Grant,0.00995244228085578,0.01824840418203199,0.04583185509792777,0.2180715431058652,0.3334899664650519,0.0,0.11087572114738424,0.1647549231753211,0.18868954293281875,0.14161342169192437
Lady Bertram,0.009665091950743526,0.004817731085405511,0.11517699762869645,0.03772914054925651,0.1005578698224292,0.11087572114738424,0.0,0.29661374639186633,0.28244703265654475,0.20124176134278832
Maria,0.006957542903859122,0.05043425973796499,0.049229452347698675,0.18213726851573422,0.29447009894348053,0.1647549231753211,0.29661374639186633,0.0,0.08032311736858304,0.04885615183018773
Susan,0.021366169575333424,0.07881003975197653,0.06850169633427466,0.22862628832505633,0.3219801894651436,0.18868954293281875,0.28244703265654475,0.08032311736858304,0.0,0.16482431444477386
Tom,0.014913226901869279,0.04881967658002775,0.04958033942918391,0.13747240323222276,0.20526990956037772,0.14161342169192437,0.20124176134278832,0.04885615183018773,0.16482431444477386,0.0
