,Crawford,Thomas,Rushworth,Norris,William,Grant,Lady Bertram,Maria,Susan,Tom
Crawford,0.0,0.06089872369550001,0.011118529612882667,0.02428666240871673,0.012547724735544503,0.012812414119222827,0.010875840588300184,0.009048110051540971,0.028312822521231188,0.01963077103928082
Thomas,0.06089872369550001,0.0,0.09469941396413938,0.01257166087145914,0.04531209329389045,0.022849620317256056,0.005835499119488286,0.0657193912202276,0.10444958471970753,0.06359014700058854
Rushworth,0.011118529612882667,0.09469941396413938,0.0,0.27142419833997,0.2165037436876812,0.052158403960171684,0.11800399359614291,0.062418834830872766,0.09164838396798615,0.0626916504265071
Norris,0.02428666240871673,0.01257166087145914,0.27142419833997,0.0,0.0826911096528982,0.27173006820983864,0.04818982054605905,0.21807426113048523,0.28820631172014227,0.1764512536336975
William,0.012547724735544503,0.04531209329389045,0.2165037436876812,0.0826911096528982,0.0,0.39987412056269794,0.12796229906491235,0.34855878026803055,0.40652938447655257,0.2628216282963715
Grant,0.012812414119222827,0.022849620317256056,0.052158403960171684,0.27173006820983864,0.39987412056269794,0.0,0.11873757806222894,0.21245447217781022,0.25268905672400066,0.18696674879309855
Lady Bertram,0.010875840588300184,0.005835499119488286,0.11800399359614291,0.04818982054605905,0.12796229906491235,0.11873757806222894,0.0,0.33707769513405467,0.34915969637876243,0.2559158099458859
Maria,0.009048110051540971,0.0657193912202276,0.062418834830872766,0.21807426113048523,0.34855878026803055,0.21245447217781022,0.33707769513405467,0.0,0.1056641864994543,0.06392066058210641
Susan,0.028312822521231188,0.10444958471970753,0.09164838396798615,0.28820631172014227,0.40652938447655257,0.25268905672400066,0.34915969637876243,0.1056641864994543,0.0,0.19991768140138289
Tom,0.01963077103928082,0.06359014700058854,0.0626916504265071,0.1764512536336975,0.2628216282963715,0.18696674879309855,0.2559158099458859,0.06392066058210641,0.19991768140138289,0.0
