,Catherine,Isabella,Tilney,Allen,Morland,Eleanor,Thorpe,Henry,James,Bath
Catherine,0.0,0.0025533850091378966,0.00336624034238262,0.004047235532712688,0.0023672074918808677,0.0018122914074166715,0.0025726278538380225,0.003112000721836851,0.001629240257330547,0.0037410212114986447
Isabella,0.0025533850091378966,0.0,0.1390483471884987,0.08437025992665113,0.026255229890101976,0.04641606053907559,0.014687452423781696,0.024374147192109875,0.0058554046405257,0.015514603824069273
Tilney,0.00336624034238262,0.1390483471884987,0.0,0.1230372225015933,0.09463034607862332,0.05530754645363619,0.013360545568951122,0.02521678123371494,0.020047145924969315,0.02138343031919973
Allen,0.004047235532712688,0.08437025992665113,0.1230372225015933,0.0,0.12376986457988708,0.07675722692847506,0.02026624386858935,0.033038767426743665,0.01827191228778888,0.020299272051383706
Morland,0.0023672074918808677,0.026255229890101976,0.09463034607862332,0.12376986457988708,0.0,0.18327745422595476,0.07792061624148365,0.10458237502739115,0.053275353833300794,0.06450042392131558
Eleanor,0.0018122914074166715,0.04641606053907559,0.05530754645363619,0.07675722692847506,0.18327745422595476,0.0,0.332643280784141,0.07820936583317832,0.2541267016159021,0.3161678959902541
Thorpe,0.0025726278538380225,0.014687452423781696,0.013360545568951122,0.02026624386858935,0.07792061624148365,0.332643280784141,0.0,0.22136084661150995,0.05222053255480387,0.08510835313079637
Henry,0.003112000721836851,0.024374147192109875,0.02521678123371494,0.033038767426743665,0.10458237502739115,0.07820936583317832,0.22136084661150995,0.0,0.253683753115258,0.29286476283073337
James,0.001629240257330547,0.0058554046405257,0.020047145924969315,0.01827191228778888,0.053275353833300794,0.2541267016159021,0.05222053255480387,0.253683753115258,0.0,0.09970446077112204
Bath,0.0037410212114986447,0.015514603824069273,0.02138343031919973,0.020299272051383706,0.06450042392131558,0.3161678959902541,0.08510835313079637,0.29286476283073337,0.09970446077112204,0.0
