,Catherine,Isabella,Tilney,Allen,Morland,Eleanor,Thorpe,Henry,James,Bath
Catherine,0.0,0.002381882997116124,0.003058835676979858,0.0038434825334338276,0.0021459511008422747,0.001611241173836142,0.0023990621035711052,0.002717506458056901,0.0015278283689598106,0.0034990670407450057
Isabella,0.002381882997116124,0.0,0.12586596398919986,0.0769402254235444,0.023650288099593936,0.0401302522205892,0.013576766856543996,0.02108001308323658,0.0054358804866643995,0.014971596553080923
Tilney,0.003058835676979858,0.12586596398919986,0.0,0.11489236875540562,0.08496136831616878,0.04719342514623912,0.012364574261559888,0.021861503444138192,0.018874105745526244,0.021361702476808093
Allen,0.0038434825334338276,0.0769402254235444,0.11489236875540562,0.0,0.10823690973172952,0.06607196331260887,0.01806936435589103,0.028631133716437572,0.017113586735967707,0.01940369536970454
Morland,0.0021459511008422747,0.023650288099593936,0.08496136831616878,0.10823690973172952,0.0,0.15775990781668658,0.07058675892102675,0.08974303265922026,0.04743025473947562,0.05817340952728851
Eleanor,0.001611241173836142,0.0401302522205892,0.04719342514623912,0.06607196331260887,0.15775990781668658,0.0,0.301742625690497,0.07054218577442332,0.2331195626802451,0.295070214124847
Thorpe,0.0023990621035711052,0.013576766856543996,0.012364574261559888,0.01806936435589103,0.07058675892102675,0.301742625690497,0.0,0.19667506227571482,0.04881850005755013,0.08132627805686167
Henry,0.002717506458056901,0.02108001308323658,0.021861503444138192,0.028631133716437572,0.08974303265922026,0.07054218577442332,0.19667506227571482,0.0,0.231106859611667,0.2731250386862144
James,0.0015278283689598106,0.0054358804866643995,0.018874105745526244,0.017113586735967707,0.04743025473947562,0.2331195626802451,0.04881850005755013,0.231106859611667,0.0,0.09388082749823057
Bath,0.0034990670407450057,0.014971596553080923,0.021361702476808093,0.01940369536970454,0.05817340952728851,0.295070214124847,0.08132627805686167,0.2731250386862144,0.09388082749823057,0.0
