,Catherine,Isabella,Tilney,Allen,Morland,Eleanor,Thorpe,Henry,James,Bath
Catherine,0.0,0.002744485047772059,0.0036854055386679133,0.004248839819436403,0.0026080318195020836,0.002031961814908342,0.0027473638461613255,0.003536718257750662,0.0017448204444585865,0.004000775421532664
Isabella,0.002744485047772059,0.0,0.1527100548590187,0.09205599765752322,0.029167131114570647,0.053268328830588685,0.015782325520504806,0.027952706693952112,0.00630587732734504,0.016226564659982325
Tilney,0.0036854055386679133,0.1527100548590187,0.0,0.1309818601254789,0.10543199187546312,0.06422596222810459,0.014379563520603694,0.028849160305607333,0.021384034834495105,0.021460657140935677
Allen,0.004248839819436403,0.09205599765752322,0.1309818601254789,0.0,0.14089535532808026,0.08834324241213105,0.022593379431625857,0.037817492696472534,0.019639114193902046,0.02129436282150132
Morland,0.0026080318195020836,0.029167131114570647,0.10543199187546312,0.14089535532808026,0.0,0.21097699360728664,0.08566799902045194,0.12073250691521421,0.059519314627762894,0.07108290501097377
Eleanor,0.002031961814908342,0.053268328830588685,0.06422596222810459,0.08834324241213105,0.21097699360728664,0.0,0.3637416902360374,0.08623480559568496,0.27523877197755625,0.3366363499877462
Thorpe,0.0027473638461613255,0.015782325520504806,0.014379563520603694,0.022593379431625857,0.08566799902045194,0.3637416902360374,0.0,0.24707951012647658,0.05594461732115066,0.08898764676896004
Henry,0.003536718257750662,0.027952706693952112,0.028849160305607333,0.037817492696472534,0.12073250691521421,0.08623480559568496,0.24707951012647658,0.0,0.276889373643809,0.3123273663204252
James,0.0017448204444585865,0.00630587732734504,0.021384034834495105,0.019639114193902046,0.059519314627762894,0.27523877197755625,0.05594461732115066,0.276889373643809,0.0,0.10553303726886679
Bath,0.004000775421532664,0.016226564659982325,0.021460657140935677,0.02129436282150132,0.07108290501097377,0.3366363499877462,0.08898764676896004,0.3123273663204252,0.10553303726886679,0.0
