,Anne,Elliot,Mary,Walter,Lady Russell,Captain Wentworth,Charles,Elizabeth,Louisa,Bath
Anne,0.0,0.025314215649055227,0.004129405701283096,0.025921691659231,0.007967407813553658,0.0067314990127945,0.004337168823839252,0.007235331304871842,0.005295289760672076,0.0033876637438680123
Elliot,0.025314215649055227,0.0,0.06192802394554493,0.19492705936310892,0.0915904879847233,0.040499902764985676,0.05283481086212043,0.0287781181727678,0.0460167505099074,0.015954001189674563
Mary,0.004129405701283096,0.06192802394554493,0.0,0.43739498335286026,0.2619817958947017,0.1489343312526841,0.04653045047502915,0.1527202876790415,0.048392552377623375,0.05812389195195344
Walter,0.025921691659231,0.19492705936310892,0.43739498335286026,0.0,0.2061091836670385,0.7156254811107479,0.58506614820782,0.06195858887406047,0.5292603610462567,0.07567653650541098
Lady Russell,0.007967407813553658,0.0915904879847233,0.2619817958947017,0.2061091836670385,0.0,0.5490369175690166,0.3966348001541523,0.04144839625714737,0.288391081335706,0.048467894057881
Captain Wentworth,0.0067314990127945,0.040499902764985676,0.1489343312526841,0.7156254811107479,0.5490369175690166,0.0,0.14341909661856148,0.564931304176427,0.11118955643244205,0.3295781018437047
Charles,0.004337168823839252,0.05283481086212043,0.04653045047502915,0.58506614820782,0.3966348001541523,0.14341909661856148,0.0,0.44882231229396735,0.046188871637066746,0.18092782980382005
Elizabeth,0.007235331304871842,0.0287781181727678,0.1527202876790415,0.06195858887406047,0.04144839625714737,0.564931304176427,0.44882231229396735,0.0,0.6532438318843493,0.05826482039259257
Louisa,0.005295289760672076,0.0460167505099074,0.048392552377623375,0.5292603610462567,0.288391081335706,0.11118955643244205,0.046188871637066746,0.6532438318843493,0.0,0.3555381677557473
Bath,0.0033876637438680123,0.015954001189674563,0.05812389195195344,0.07567653650541098,0.048467894057881,0.3295781018437047,0.18092782980382005,0.05826482039259257,0.3555381677557473,0.0
