,Anne,Elliot,Mary,Walter,Lady Russell,Captain Wentworth,Charles,Elizabeth,Louisa,Bath
Anne,0.0,0.02257277447667761,0.004020234479519439,0.02724515028476334,0.008212854491563443,0.005894695329546373,0.003931901797610698,0.0074404338380850265,0.0046530949288399555,0.003335859607833779
Elliot,0.02257277447667761,0.0,0.05813097949969147,0.18491468023586263,0.08578302512214582,0.03541018642122313,0.04750604487787974,0.027955368751147406,0.04014007747340635,0.015095538958141617
Mary,0.004020234479519439,0.05813097949969147,0.0,0.4080048774650133,0.24319141240304645,0.13405930525709076,0.04105035039433032,0.1488474260889301,0.04156904438339411,0.058459538887647586
Walter,0.02724515028476334,0.18491468023586263,0.4080048774650133,0.0,0.18981556596595028,0.6597615833963095,0.5368676348884518,0.0555360062100064,0.4783767210899806,0.0667909992897123
Lady Russell,0.008212854491563443,0.08578302512214582,0.24319141240304645,0.18981556596595028,0.0,0.5078981087134283,0.3624376874600599,0.03900390233762277,0.2577976021020892,0.04305252116712188
Captain Wentworth,0.005894695329546373,0.03541018642122313,0.13405930525709076,0.6597615833963095,0.5078981087134283,0.0,0.13629214541999435,0.5322660218195054,0.1037000219298428,0.3105972836811432
Charles,0.003931901797610698,0.04750604487787974,0.04105035039433032,0.5368676348884518,0.3624376874600599,0.13629214541999435,0.0,0.4192950867611633,0.04086656745692083,0.1733684530538811
Elizabeth,0.0074404338380850265,0.027955368751147406,0.1488474260889301,0.0555360062100064,0.03900390233762277,0.5322660218195054,0.4192950867611633,0.0,0.5958517095816991,0.05229284588496756
Louisa,0.0046530949288399555,0.04014007747340635,0.04156904438339411,0.4783767210899806,0.2577976021020892,0.1037000219298428,0.04086656745692083,0.5958517095816991,0.0,0.32648945459652773
Bath,0.003335859607833779,0.015095538958141617,0.058459538887647586,0.0667909992897123,0.04305252116712188,0.3105972836811432,0.1733684530538811,0.05229284588496756,0.32648945459652773,0.0
