,Anne,Elliot,Mary,Walter,Lady Russell,Captain Wentworth,Charles,Elizabeth,Louisa,Bath
Anne,0.0,0.0282107759896761,0.004291980981271407,0.024595920248282856,0.007782094574630407,0.007613501165674231,0.004790524265564944,0.007023027918934508,0.005994347638253602,0.0034372709095376137
Elliot,0.0282107759896761,0.0,0.06602018615300125,0.20387724930314513,0.09761680399810263,0.045913307068869966,0.05869998469218346,0.029580009636517267,0.05242017243694671,0.016766378457770896
Mary,0.004291980981271407,0.06602018615300125,0.0,0.46597458346134835,0.28054370008492013,0.16403217911660234,0.05234746517226217,0.15587337241949384,0.0558923709135114,0.05782451445781347
Walter,0.024595920248282856,0.20387724930314513,0.46597458346134835,0.0,0.22286861497510793,0.770595825531079,0.6331194608824775,0.06879058955167752,0.5810616068667056,0.08500283351687299
Lady Russell,0.007782094574630407,0.09761680399810263,0.28054370008492013,0.22286861497510793,0.0,0.5895514629642227,0.4308637725880024,0.04402145355538378,0.31987732113139267,0.05420554006171944
Captain Wentworth,0.007613501165674231,0.045913307068869966,0.16403217911660234,0.770595825531079,0.5895514629642227,0.0,0.1505607406546404,0.5955285268100461,0.11868381917169599,0.3469616261657072
Charles,0.004790524265564944,0.05869998469218346,0.05234746517226217,0.6331194608824775,0.4308637725880024,0.1505607406546404,0.0,0.4772129376880351,0.0519569837613626,0.1882043378052794
Elizabeth,0.007023027918934508,0.029580009636517267,0.15587337241949384,0.06879058955167752,0.04402145355538378,0.5955285268100461,0.4772129376880351,0.0,0.7112625340264649,0.06448446362855459
Louisa,0.005994347638253602,0.05242017243694671,0.0558923709135114,0.5810616068667056,0.31987732113139267,0.11868381917169599,0.0519569837613626,0.7112625340264649,0.0,0.3843564987285319
Bath,0.0034372709095376137,0.016766378457770896,0.05782451445781347,0.08500283351687299,0.05420554006171944,0.3469616261657072,0.1882043378052794,0.06448446362855459,0.3843564987285319,0.0
