,Elizabeth,Darcy,Jane,Bennet,Collins,Bingley,Wickham,Lizzy,Gardiner,Lady Catherine
Elizabeth,0.0,0.01731240834669619,0.005155409496780996,0.019299689766087424,0.0032989752892818346,0.027079432045864302,0.00971439154477163,0.005378923794517011,0.002097045184976109,0.0021536952736108104
Darcy,0.01731240834669619,0.0,0.08094309241389616,0.08770975682482884,0.0762128195658436,0.01782799335380742,0.02558813654196308,0.022047276696528055,0.011751241617319852,0.03975628948806663
Jane,0.005155409496780996,0.08094309241389616,0.0,0.04240315499641549,0.055223361502524125,0.05208642116995526,0.0248182859881343,0.014116561268609953,0.03517968608372171,0.06303498883376042
Bennet,0.019299689766087424,0.08770975682482884,0.04240315499641549,0.0,0.061102772102999,0.04133109088725729,0.03720677966267125,0.01740675702884665,0.03775680215153825,0.08775932218299004
Collins,0.0032989752892818346,0.0762128195658436,0.055223361502524125,0.061102772102999,0.0,0.42086550714258286,0.09089415640727949,0.06020708305660711,0.12832167138368536,0.013268610559672048
Bingley,0.027079432045864302,0.01782799335380742,0.05208642116995526,0.04133109088725729,0.42086550714258286,0.0,0.14913280178263716,0.05409442984710021,0.11530758619982151,0.18115184096999476
Wickham,0.00971439154477163,0.02558813654196308,0.0248182859881343,0.03720677966267125,0.09089415640727949,0.14913280178263716,0.0,0.2742095813561807,0.12805325553930796,0.42488509241258143
Lizzy,0.005378923794517011,0.022047276696528055,0.014116561268609953,0.01740675702884665,0.06020708305660711,0.05409442984710021,0.2742095813561807,0.0,0.3791960645121317,0.18584466263443133
Gardiner,0.002097045184976109,0.011751241617319852,0.03517968608372171,0.03775680215153825,0.12832167138368536,0.11530758619982151,0.12805325553930796,0.3791960645121317,0.0,0.5198375843028098
Lady Catherine,0.0021536952736108104,0.03975628948806663,0.06303498883376042,0.08775932218299004,0.013268610559672048,0.18115184096999476,0.42488509241258143,0.18584466263443133,0.5198375843028098,0.0
