,Elizabeth,Darcy,Jane,Bennet,Collins,Bingley,Wickham,Lizzy,Gardiner,Lady Catherine
Elizabeth,0.0,0.01632129359454191,0.0049627391099594945,0.020356916331280533,0.0029202808942807423,0.02951422160005342,0.01061132662377229,0.00575960368032395,0.001886628883465991,0.0019401053137294896
Darcy,0.01632129359454191,0.0,0.07037021816184263,0.07798670285148025,0.0657280291742199,0.0189664675481871,0.02359564348386505,0.02021847926917245,0.010431921536249509,0.03378417358119903
Jane,0.0049627391099594945,0.07037021816184263,0.0,0.040546960860348466,0.04787092950935433,0.052490688812418085,0.024040766298770447,0.013306854099025687,0.032443617600021776,0.05359111710971197
Bennet,0.020356916331280533,0.07798670285148025,0.040546960860348466,0.0,0.053002823120250134,0.03953460428890407,0.03374101352352566,0.015259562051982667,0.03487669028488428,0.07516638373530701
Collins,0.0029202808942807423,0.0657280291742199,0.04787092950935433,0.053002823120250134,0.0,0.391905490376621,0.08740641706208853,0.05760571781132353,0.117079240294693,0.011345805686215262
Bingley,0.02951422160005342,0.0189664675481871,0.052490688812418085,0.03953460428890407,0.391905490376621,0.0,0.13029853288598012,0.046871568425671986,0.10186765913736587,0.15665581043217552
Wickham,0.01061132662377229,0.02359564348386505,0.024040766298770447,0.03374101352352566,0.08740641706208853,0.13029853288598012,0.0,0.24030009564833704,0.1168249920192175,0.3696855243964452
Lizzy,0.00575960368032395,0.02021847926917245,0.013306854099025687,0.015259562051982667,0.05760571781132353,0.046871568425671986,0.24030009564833704,0.0,0.3388685352807448,0.1628550556630195
Gardiner,0.001886628883465991,0.010431921536249509,0.032443617600021776,0.03487669028488428,0.117079240294693,0.10186765913736587,0.1168249920192175,0.3388685352807448,0.0,0.4565635410591532
Lady Catherine,0.0019401053137294896,0.03378417358119903,0.05359111710971197,0.07516638373530701,0.011345805686215262,0.15665581043217552,0.3696855243964452,0.1628550556630195,0.4565635410591532,0.0
