,Elizabeth,Darcy,Jane,Bennet,Collins,Bingley,Wickham,Lizzy,Gardiner,Lady Catherine
Elizabeth,0.0,0.018391620832146138,0.005354838920121941,0.018357544321294272,0.003699568381624827,0.024720444723859175,0.008900487178072847,0.005095964708849394,0.0023106690196460144,0.0023848215232233905
Darcy,0.018391620832146138,0.0,0.09238683909545324,0.09838048306804742,0.08752892999940659,0.01685574625262684,0.027805174232900073,0.024101976728817937,0.013119655147870312,0.04635316610865084
Jane,0.005354838920121941,0.09238683909545324,0.0,0.04448247588144147,0.06315028881825278,0.05163291639949592,0.025682067721210348,0.015119903478705298,0.037788511550768566,0.07346714070974636
Bennet,0.018357544321294272,0.09838048306804742,0.04448247588144147,0.0,0.06984610617791476,0.04302989960418761,0.04067856155016365,0.019747726443556938,0.04051597410972407,0.10154354254171939
Collins,0.003699568381624827,0.08752892999940659,0.06315028881825278,0.06984610617791476,0.0,0.44943925293718134,0.09426431146167434,0.06290720101333808,0.1393779648229853,0.01539051869217734
Bingley,0.024720444723859175,0.01685574625262684,0.05163291639949592,0.04302989960418761,0.44943925293718134,0.0,0.16912339185460992,0.06190416481390361,0.1293101946965936,0.20761040790521584
Wickham,0.008900487178072847,0.027805174232900073,0.025682067721210348,0.04067856155016365,0.09426431146167434,0.16912339185460992,0.0,0.3104326403703452,0.13940828223260876,0.4840433110096028
Lizzy,0.005095964708849394,0.024101976728817937,0.015119903478705298,0.019747726443556938,0.06290720101333808,0.06190416481390361,0.3104326403703452,0.0,0.42161541905685396,0.21047517752601788
Gardiner,0.0023106690196460144,0.013119655147870312,0.037788511550768566,0.04051597410972407,0.1393779648229853,0.1293101946965936,0.13940828223260876,0.42161541905685396,0.0,0.5869426475654066
Lady Catherine,0.0023848215232233905,0.04635316610865084,0.07346714070974636,0.10154354254171939,0.01539051869217734,0.20761040790521584,0.4840433110096028,0.21047517752601788,0.5869426475654066,0.0
