,Elinor,Marianne,Edward,Jennings,Willoughby,Dashwood,Lucy,Brandon,John,Ferrars
Elinor,0.0,0.009698837058742926,0.0035990462706070774,0.002489003713272401,0.0024576910901697156,0.002898590898590894,0.0036576560142589656,0.002783843098035951,0.0037768369267042927,0.0024304633095841924
Marianne,0.009698837058742926,0.0,0.015087938978778439,0.006058251767894239,0.0036601511815187024,0.007563942640865719,0.017121379682517958,0.005355770388273109,0.0085839624566415,0.008327832119040915
Edward,0.0035990462706070774,0.015087938978778439,0.0,0.07052106194034688,0.05703602823260943,0.08981839827993676,0.06998487456913426,0.03846626107731199,0.04043749574916686,0.013344402849897357
Jennings,0.002489003713272401,0.006058251767894239,0.07052106194034688,0.0,0.07769832573251378,0.05349705918936688,0.08060741146112421,0.020655934290820542,0.02015699743816456,0.021402340028713655
Willoughby,0.0024576910901697156,0.0036601511815187024,0.05703602823260943,0.07769832573251378,0.0,0.1378371626063934,0.09841984851766976,0.07007347834541769,0.1073075789521413,0.04854325162017472
Dashwood,0.002898590898590894,0.007563942640865719,0.08981839827993676,0.05349705918936688,0.1378371626063934,0.0,0.1433195380282975,0.03749534683445844,0.03881696479176584,0.02599444511532425
Lucy,0.0036576560142589656,0.017121379682517958,0.06998487456913426,0.08060741146112421,0.09841984851766976,0.1433195380282975,0.0,0.09519010843496217,0.06756121199755152,0.03937232486683037
Brandon,0.002783843098035951,0.005355770388273109,0.03846626107731199,0.020655934290820542,0.07007347834541769,0.03749534683445844,0.09519010843496217,0.0,0.04094521526219139,0.035970025090904224
John,0.0037768369267042927,0.0085839624566415,0.04043749574916686,0.02015699743816456,0.1073075789521413,0.03881696479176584,0.06756121199755152,0.04094521526219139,0.0,0.09742959116585487
Ferrars,0.0024304633095841924,0.008327832119040915,0.013344402849897357,0.021402340028713655,0.04854325162017472,0.02599444511532425,0.03937232486683037,0.035970025090904224,0.09742959116585487,0.0
