,Elinor,Marianne,Edward,Jennings,Willoughby,Dashwood,Lucy,Brandon,John,Ferrars
Elinor,0.0,0.00862181597477921,0.0032555125995594025,0.0023273975480667107,0.002275190026684293,0.00279585879535949,0.0032391494898971846,0.002603175991745683,0.0034619072712834724,0.0021962614626267578
Marianne,0.00862181597477921,0.0,0.013316822998780179,0.005839241934403171,0.003361475052380357,0.007348758494219848,0.014935584813219093,0.005106461489398898,0.00797227318252926,0.007538722886068842
Edward,0.0032555125995594025,0.013316822998780179,0.0,0.06550392843585671,0.05249123838723173,0.08558812195393227,0.06028775490250882,0.03652858752812216,0.036900585544907896,0.012493283804626186
Jennings,0.0023273975480667107,0.005839241934403171,0.06550392843585671,0.0,0.06899894141269136,0.05009522777820917,0.07155542556047928,0.018923672629591083,0.018451024791437877,0.01949361124817804
Willoughby,0.002275190026684293,0.003361475052380357,0.05249123838723173,0.06899894141269136,0.0,0.12561131342808496,0.08708882740878628,0.06436810730992291,0.09670244381247431,0.04450624099945405
Dashwood,0.00279585879535949,0.007348758494219848,0.08558812195393227,0.05009522777820917,0.12561131342808496,0.0,0.13117193506109848,0.0333282262184175,0.03461779334780394,0.022786458425592526
Lucy,0.0032391494898971846,0.014935584813219093,0.06028775490250882,0.07155542556047928,0.08708882740878628,0.13117193506109848,0.0,0.08946777240117736,0.061013597246305604,0.03512113995121008
Brandon,0.002603175991745683,0.005106461489398898,0.03652858752812216,0.018923672629591083,0.06436810730992291,0.0333282262184175,0.08946777240117736,0.0,0.036489585847395756,0.03224619769839948
John,0.0034619072712834724,0.00797227318252926,0.036900585544907896,0.018451024791437877,0.09670244381247431,0.03461779334780394,0.061013597246305604,0.036489585847395756,0.0,0.08468786893741709
Ferrars,0.0021962614626267578,0.007538722886068842,0.012493283804626186,0.01949361124817804,0.04450624099945405,0.022786458425592526,0.03512113995121008,0.03224619769839948,0.08468786893741709,0.0
