,Elinor,Marianne,Edward,Jennings,Willoughby,Dashwood,Lucy,Brandon,John,Ferrars
Elinor,0.0,0.010840914682038603,0.003949103741007603,0.0026682611303061247,0.0026570790043526013,0.0030069729569239946,0.004097908655533402,0.002979934717240033,0.0040964144324844055,0.002671459318541237
Marianne,0.010840914682038603,0.0,0.0169489324015081,0.006277663485239816,0.003983751939448712,0.0077833396706309295,0.019456928087321943,0.005619365193113059,0.009182166572457916,0.00913827404697589
Edward,0.003949103741007603,0.0169489324015081,0.0,0.07588163819097649,0.061942047979573624,0.09403193528282154,0.08052995072285248,0.04057913884907567,0.04402661783894811,0.014163639092810631
Jennings,0.0026682611303061247,0.006277663485239816,0.07588163819097649,0.0,0.08689349259114414,0.056912347339723966,0.09005267141657927,0.022429093817743027,0.021876987263892332,0.023348259317762153
Willoughby,0.0026570790043526013,0.003983751939448712,0.061942047979573624,0.08689349259114414,0.0,0.15038555710075047,0.11036633306205981,0.07584798583206487,0.11828825648466926,0.05260358392351983
Dashwood,0.0030069729569239946,0.0077833396706309295,0.09403193528282154,0.056912347339723966,0.15038555710075047,0.0,0.15562776008870932,0.04192301100203463,0.043206300597716296,0.029430156626498706
Lucy,0.004097908655533402,0.019456928087321943,0.08052995072285248,0.09005267141657927,0.11036633306205981,0.15562776008870932,0.0,0.10098482257584743,0.07427829401954326,0.04379939828724526
Brandon,0.002979934717240033,0.005619365193113059,0.04057913884907567,0.022429093817743027,0.07584798583206487,0.04192301100203463,0.10098482257584743,0.0,0.04564181918189583,0.039813333089362093
John,0.0040964144324844055,0.009182166572457916,0.04402661783894811,0.021876987263892332,0.11828825648466926,0.043206300597716296,0.07427829401954326,0.04564181918189583,0.0,0.11111973915946471
Ferrars,0.002671459318541237,0.00913827404697589,0.014163639092810631,0.023348259317762153,0.05260358392351983,0.029430156626498706,0.04379939828724526,0.039813333089362093,0.11111973915946471,0.0
