,Poirot,Hastings,Chinaman,Japp,Savaronoff,Ingles,M. Poirot,Hercule Poirot,Li Chang Yen,Paynter
Poirot,0.0,0.003362747677886712,0.015823878749098384,0.002692416132745459,0.003956158999823933,0.01177699346289743,0.003861818246069729,0.0021481294973562564,0.006600760657823251,0.005172208160506742
Hastings,0.003362747677886712,0.0,0.052814036389658245,0.019066711327020255,0.03860224865446106,0.033846279191556874,0.03492808647292424,0.011986986655358411,0.025761651714130508,0.029289964352446962
Chinaman,0.015823878749098384,0.052814036389658245,0.0,0.19201697702718326,0.4627948779596651,0.13432742054149138,0.29886740612148444,0.0937590278421966,0.04700242509375704,0.21149335418295548
Japp,0.002692416132745459,0.019066711327020255,0.19201697702718326,0.0,0.3925736473145069,0.3633296964289133,0.48751949130455907,0.18308596493552962,0.2164316666887531,0.48202183909569185
Savaronoff,0.003956158999823933,0.03860224865446106,0.4627948779596651,0.3925736473145069,0.0,0.5345012655543924,0.7124585326636717,0.48830057910708835,0.2807456832005938,1.0805151005154983
Ingles,0.01177699346289743,0.033846279191556874,0.13432742054149138,0.3633296964289133,0.5345012655543924,0.0,0.2729715791380094,0.17210347066696707,0.10764037052252157,0.705699632922967
M. Poirot,0.003861818246069729,0.03492808647292424,0.29886740612148444,0.48751949130455907,0.7124585326636717,0.2729715791380094,0.0,0.2643743125588053,0.3805647950596998,0.4958508368561244
Hercule Poirot,0.0021481294973562564,0.011986986655358411,0.0937590278421966,0.18308596493552962,0.48830057910708835,0.17210347066696707,0.2643743125588053,0.0,0.2922536144498483,0.6507765600773909
Li Chang Yen,0.006600760657823251,0.025761651714130508,0.04700242509375704,0.2164316666887531,0.2807456832005938,0.10764037052252157,0.3805647950596998,0.2922536144498483,0.0,0.9210002517856906
Paynter,0.005172208160506742,0.029289964352446962,0.21149335418295548,0.48202183909569185,1.0805151005154983,0.705699632922967,0.4958508368561244,0.6507765600773909,0.9210002517856906,0.0
