,Poirot,Hastings,Chinaman,Japp,Savaronoff,Ingles,M. Poirot,Hercule Poirot,Li Chang Yen,Paynter
Poirot,0.0,0.003104434952136692,0.01402358560785206,0.0025172543188162625,0.003967744524968536,0.010470258993171432,0.003378547662792896,0.0019087235454926202,0.0062018990976164595,0.004385715745434693
Hastings,0.003104434952136692,0.0,0.047125149879378755,0.018179924843388862,0.03856963641935183,0.03079239071374539,0.031059117834458503,0.010621101952837707,0.02398224430776082,0.024807064614841796
Chinaman,0.01402358560785206,0.047125149879378755,0.0,0.18678328644895362,0.44737422043355046,0.11844202685834294,0.26249904690425063,0.08586248740742852,0.04437314223552978,0.18294407948273403
Japp,0.0025172543188162625,0.018179924843388862,0.18678328644895362,0.0,0.3672129240591106,0.33201991042165635,0.4436718024640963,0.16294112770303656,0.1991527535442541,0.43131582724450085
Savaronoff,0.003967744524968536,0.03856963641935183,0.44737422043355046,0.3672129240591106,0.0,0.5106697436346844,0.6733499591538474,0.4569509833058745,0.264689244711072,0.9887283270548273
Ingles,0.010470258993171432,0.03079239071374539,0.11844202685834294,0.33201991042165635,0.5106697436346844,0.0,0.24746807965253861,0.15464805802148876,0.09871550952702728,0.6199577029554221
M. Poirot,0.003378547662792896,0.031059117834458503,0.26249904690425063,0.4436718024640963,0.6733499591538474,0.24746807965253861,0.0,0.24436425005572057,0.3546910166054664,0.4308027713160228
Hercule Poirot,0.0019087235454926202,0.010621101952837707,0.08586248740742852,0.16294112770303656,0.4569509833058745,0.15464805802148876,0.24436425005572057,0.0,0.2672702844303012,0.5829146612823086
Li Chang Yen,0.0062018990976164595,0.02398224430776082,0.04437314223552978,0.1991527535442541,0.264689244711072,0.09871550952702728,0.3546910166054664,0.2672702844303012,0.0,0.827449414564535
Paynter,0.004385715745434693,0.024807064614841796,0.18294407948273403,0.43131582724450085,0.9887283270548273,0.6199577029554221,0.4308027713160228,0.5829146612823086,0.827449414564535,0.0
