,Poirot,Hastings,Chinaman,Japp,Savaronoff,Ingles,M. Poirot,Hercule Poirot,Li Chang Yen,Paynter
Poirot,0.0,0.0036318194466071893,0.017722424988720686,0.0029053437525412753,0.004013560243909269,0.013148194197362975,0.004376921187863922,0.0024053288988039444,0.006979675606116382,0.006039020222950942
Hastings,0.0036318194466071893,0.0,0.05879230135591824,0.020299656448654307,0.03913533014594311,0.03694259121148145,0.03890052264105854,0.01344340945895088,0.02752935769628399,0.03423793691813182
Chinaman,0.017722424988720686,0.05879230135591824,0.0,0.19771970550253223,0.47733823764739347,0.1509174701434273,0.3370879356797513,0.10210524498195225,0.04957665253492644,0.24212462476700572
Japp,0.0029053437525412753,0.020299656448654307,0.19771970550253223,0.0,0.417658333896566,0.39666784839694136,0.5323213615587414,0.20422851907333064,0.2340530916172427,0.5342934757968859
Savaronoff,0.004013560243909269,0.03913533014594311,0.47733823764739347,0.417658333896566,0.0,0.5577119774746762,0.7493050439141263,0.518788640831134,0.29685465849003856,1.1730718925451702
Ingles,0.013148194197362975,0.03694259121148145,0.1509174701434273,0.39666784839694136,0.5577119774746762,0.0,0.2985680654622958,0.19075367396716067,0.11693704185667307,0.7958960092769074
M. Poirot,0.004376921187863922,0.03890052264105854,0.3370879356797513,0.5323213615587414,0.7493050439141263,0.2985680654622958,0.0,0.2843152817092836,0.4050275730077822,0.5651188446060748
Hercule Poirot,0.0024053288988039444,0.01344340945895088,0.10210524498195225,0.20422851907333064,0.518788640831134,0.19075367396716067,0.2843152817092836,0.0,0.31729357708335904,0.7211558793897838
Li Chang Yen,0.006979675606116382,0.02752935769628399,0.04957665253492644,0.2340530916172427,0.29685465849003856,0.11693704185667307,0.4050275730077822,0.31729357708335904,0.0,1.0169257635064033
Paynter,0.006039020222950942,0.03423793691813182,0.24212462476700572,0.5342934757968859,1.1730718925451702,0.7958960092769074,0.5651188446060748,0.7211558793897838,1.0169257635064033,0.0
