,Pagett,Eustace,Suzanne,Anne,Blair,Harry,Beddingfeld,Rayburn,Chichester,Eustace Pedler
Pagett,0.0,0.05713470472881379,0.08891839456329127,0.02497346961484049,0.025841145919481296,0.031769237046103634,0.012817625458996318,0.009623255813953489,0.02970015378338514,0.013433841218925427
Eustace,0.05713470472881379,0.0,0.09163039149418149,0.016371711519814335,0.02172880346686955,0.025626111791105688,0.010977460668119539,0.00891750305997554,0.03268894956532655,0.009253365973072221
Suzanne,0.08891839456329127,0.09163039149418149,0.0,0.06459565403996248,0.1457995964140395,0.13611260709914327,0.03908576887482459,0.057734638922888624,0.11072579480902617,0.07392529439074833
Anne,0.02497346961484049,0.016371711519814335,0.06459565403996248,0.0,0.15671242846273448,0.10911334149326807,0.03443794966713436,0.042153977968176236,0.11746539873834856,0.04938167391212594
Blair,0.025841145919481296,0.02172880346686955,0.1457995964140395,0.15671242846273448,0.0,0.1902593227254182,0.03367298564050514,0.16078604651162792,0.12902940714935818,0.04603621322753553
Harry,0.031769237046103634,0.025626111791105688,0.13611260709914327,0.10911334149326807,0.1902593227254182,0.0,0.18860889034838946,0.17369963280293757,0.32899375451150237,0.2309090448655721
Beddingfeld,0.012817625458996318,0.010977460668119539,0.03908576887482459,0.03443794966713436,0.03367298564050514,0.18860889034838946,0.0,0.20258286413708684,0.29397457866490917,0.11379968767146416
Rayburn,0.009623255813953489,0.00891750305997554,0.057734638922888624,0.042153977968176236,0.16078604651162792,0.17369963280293757,0.20258286413708684,0.0,0.5104664344223708,0.3508590722998353
Chichester,0.02970015378338514,0.03268894956532655,0.11072579480902617,0.11746539873834856,0.12902940714935818,0.32899375451150237,0.29397457866490917,0.5104664344223708,0.0,0.1762637065800025
Eustace Pedler,0.013433841218925427,0.009253365973072221,0.07392529439074833,0.04938167391212594,0.04603621322753553,0.2309090448655721,0.11379968767146416,0.3508590722998353,0.1762637065800025,0.0
