,Pagett,Eustace,Suzanne,Anne,Blair,Harry,Beddingfeld,Rayburn,Chichester,Eustace Pedler
Pagett,0.0,0.05044572199793372,0.08301101480378414,0.02256459381039788,0.023277370272657815,0.027685940455239918,0.011590972412986884,0.008448088421501333,0.03283422108129646,0.012513081077748907
Eustace,0.05044572199793372,0.0,0.08614141877787419,0.01479030251666802,0.019628754478739737,0.022432181401816773,0.009994868609950998,0.00807842926520206,0.0353980030461417,0.008589033130459825
Suzanne,0.08301101480378414,0.08614141877787419,0.0,0.05719069106516876,0.12857999311520618,0.11932350523863255,0.03447158380134528,0.04956694419128308,0.10162891570361994,0.06726979093191657
Anne,0.02256459381039788,0.01479030251666802,0.05719069106516876,0.0,0.13722201586013205,0.09503384668847507,0.03164886059837084,0.03788352304497755,0.11708563133740135,0.04712481084071087
Blair,0.023277370272657815,0.019628754478739737,0.12857999311520618,0.13722201586013205,0.0,0.16411968470820273,0.030031253229724542,0.1394053290821874,0.13170084503852722,0.04267693437945651
Harry,0.027685940455239918,0.022432181401816773,0.11932350523863255,0.09503384668847507,0.16411968470820273,0.0,0.17241216343398993,0.1592744316883384,0.3189807612855569,0.2149387770988638
Beddingfeld,0.011590972412986884,0.009994868609950998,0.03447158380134528,0.03164886059837084,0.030031253229724542,0.17241216343398993,0.0,0.17688387204840608,0.28011607400192085,0.10340243855985069
Rayburn,0.008448088421501333,0.00807842926520206,0.04956694419128308,0.03788352304497755,0.1394053290821874,0.1592744316883384,0.17688387204840608,0.0,0.4675795613045002,0.3109944249782725
Chichester,0.03283422108129646,0.0353980030461417,0.10162891570361994,0.11708563133740135,0.13170084503852722,0.3189807612855569,0.28011607400192085,0.4675795613045002,0.0,0.16940131632333266
Eustace Pedler,0.012513081077748907,0.008589033130459825,0.06726979093191657,0.04712481084071087,0.04267693437945651,0.2149387770988638,0.10340243855985069,0.3109944249782725,0.16940131632333266,0.0
