,Poirot,Ackroyd,Caroline,Flora,Ralph,Blunt,Ralph Paton,Raymond,Sheppard,M. Poirot
Poirot,0.0,0.14640417157761645,0.1327420787480591,0.02669822001240517,0.026573813349916344,0.015062651288623092,0.011868599544806284,0.008136817487582482,0.008098637065441975,0.019981428724880693
Ackroyd,0.14640417157761645,0.0,0.036154449439370406,0.050646489891422855,0.02965145619688854,0.03246658936962225,0.008095000779750883,0.005463078914896178,0.006101249941764751,0.007987896553286983
Caroline,0.1327420787480591,0.036154449439370406,0.0,0.12412338745644452,0.06815565183783893,0.06593448058420293,0.046675012261300185,0.05954121425119134,0.03899186412518183,0.016735024232944613
Flora,0.02669822001240517,0.050646489891422855,0.12412338745644452,0.0,0.08133905990133487,0.031881674498077765,0.07066760801809924,0.06906897744146781,0.04899044679397712,0.04627616314030127
Ralph,0.026573813349916344,0.02965145619688854,0.06815565183783893,0.08133905990133487,0.0,0.16705467748825287,0.043166698308731634,0.08704469448042376,0.08819868358802643,0.0649926824750899
Blunt,0.015062651288623092,0.03246658936962225,0.06593448058420293,0.031881674498077765,0.16705467748825287,0.0,0.11206602342868893,0.055433698589085395,0.037641626492544884,0.06342122571129519
Ralph Paton,0.011868599544806284,0.008095000779750883,0.046675012261300185,0.07066760801809924,0.043166698308731634,0.11206602342868893,0.0,0.1290555521653343,0.16002210642976236,0.157217227891029
Raymond,0.008136817487582482,0.005463078914896178,0.05954121425119134,0.06906897744146781,0.08704469448042376,0.055433698589085395,0.1290555521653343,0.0,0.07415676995467821,0.11172563332009362
Sheppard,0.008098637065441975,0.006101249941764751,0.03899186412518183,0.04899044679397712,0.08819868358802643,0.037641626492544884,0.16002210642976236,0.07415676995467821,0.0,0.09614364117612842
M. Poirot,0.019981428724880693,0.007987896553286983,0.016735024232944613,0.04627616314030127,0.0649926824750899,0.06342122571129519,0.157217227891029,0.11172563332009362,0.09614364117612842,0.0
