,Poirot,Ackroyd,Caroline,Flora,Ralph,Blunt,Ralph Paton,Raymond,Sheppard,M. Poirot
Poirot,0.0,0.13790130701780695,0.1259097389564571,0.025288570508174586,0.025735775859663468,0.013781602039738616,0.011521382869453832,0.007665109098563973,0.007576601837308814,0.019453191389373074
Ackroyd,0.13790130701780695,0.0,0.034284224350330156,0.045419926862056495,0.026530784616790343,0.028386760540871542,0.007463171981836695,0.005037960827400388,0.005500347145116894,0.007282382651407511
Caroline,0.1259097389564571,0.034284224350330156,0.0,0.1114458479954775,0.06102677460636269,0.058035472522877635,0.04213661670142474,0.051882398210037955,0.03423062994137689,0.014974341045923057
Flora,0.025288570508174586,0.045419926862056495,0.1114458479954775,0.0,0.07561620371143779,0.02880119618699027,0.06743111780849281,0.060452013531782624,0.0434823635745186,0.04285489633789253
Ralph,0.025735775859663468,0.026530784616790343,0.06102677460636269,0.07561620371143779,0.0,0.15230980012525058,0.039605456486262035,0.07819196058515421,0.08002719696973098,0.05877917243858252
Blunt,0.013781602039738616,0.028386760540871542,0.058035472522877635,0.02880119618699027,0.15230980012525058,0.0,0.10511697827276865,0.04845428174494717,0.03450492125320795,0.059211302925561794
Ralph Paton,0.011521382869453832,0.007463171981836695,0.04213661670142474,0.06743111780849281,0.039605456486262035,0.10511697827276865,0.0,0.12153660856477633,0.14156678796003458,0.14064764151507614
Raymond,0.007665109098563973,0.005037960827400388,0.051882398210037955,0.060452013531782624,0.07819196058515421,0.04845428174494717,0.12153660856477633,0.0,0.06737702780867705,0.1033254655173733
Sheppard,0.007576601837308814,0.005500347145116894,0.03423062994137689,0.0434823635745186,0.08002719696973098,0.03450492125320795,0.14156678796003458,0.06737702780867705,0.0,0.08837995081996114
M. Poirot,0.019453191389373074,0.007282382651407511,0.014974341045923057,0.04285489633789253,0.05877917243858252,0.059211302925561794,0.14064764151507614,0.1033254655173733,0.08837995081996114,0.0
