,Poirot,Ackroyd,Caroline,Flora,Ralph,Blunt,Ralph Paton,Raymond,Sheppard,M. Poirot
Poirot,0.0,0.15427594766785618,0.13901081445525082,0.0282485476498441,0.027592683145333453,0.016464916265939815,0.012213529885256457,0.008706186501961815,0.008602837752705665,0.020371667358401045
Ackroyd,0.15427594766785618,0.0,0.03801335697339392,0.05618334616730235,0.03301533667981849,0.03680172397068876,0.008767174901968655,0.005925933540693737,0.006724354938457648,0.008696113622557709
Caroline,0.13901081445525082,0.03801335697339392,0.0,0.13713752410302027,0.07576752227602845,0.07430687896508487,0.051674692543084336,0.06775831057768958,0.044074929781651104,0.018561170090897822
Flora,0.0282485476498441,0.05618334616730235,0.13713752410302027,0.0,0.08740739748641241,0.035039731110295236,0.07458991672042009,0.07828701567106469,0.054863282471516193,0.04970114035637747
Ralph,0.027592683145333453,0.03301533667981849,0.07576752227602845,0.08740739748641241,0.0,0.18212863275613878,0.04680481822267929,0.09621773296868456,0.09643651990167573,0.07128435232978184
Blunt,0.016464916265939815,0.03680172397068876,0.07430687896508487,0.035039731110295236,0.18212863275613878,0.0,0.11945421685559449,0.06291749449065362,0.041028627924233695,0.0675364334350036
Ralph Paton,0.012213529885256457,0.008767174901968655,0.051674692543084336,0.07458991672042009,0.04680481822267929,0.11945421685559449,0.0,0.13664922867872673,0.1793982785293855,0.1744503659939727
Raymond,0.008706186501961815,0.005925933540693737,0.06775831057768958,0.07828701567106469,0.09621773296868456,0.06291749449065362,0.13664922867872673,0.0,0.0810562538887125,0.12010300908697659
Sheppard,0.008602837752705665,0.006724354938457648,0.044074929781651104,0.054863282471516193,0.09643651990167573,0.041028627924233695,0.1793982785293855,0.0810562538887125,0.0,0.10391015528708096
M. Poirot,0.020371667358401045,0.008696113622557709,0.018561170090897822,0.04970114035637747,0.07128435232978184,0.0675364334350036,0.1744503659939727,0.12010300908697659,0.10391015528708096,0.0
