,Poirot,Renauld,Jack Renauld,Daubreuil,M. Hautet,Hastings,M. Renauld,Jack,Bella,mon ami
Poirot,0.0,0.013374586638058562,0.005440805323844956,0.008113183562907656,0.021260376414753313,0.002605735209829922,0.004742353019805289,0.012493347492344974,0.024407885895549902,0.0016485842226034346
Renauld,0.013374586638058562,0.0,0.1654331989217368,0.3726971584855565,0.17877023809609363,0.04771415898913839,0.19198944014970926,0.039720730822831646,0.0717824041302281,0.049066890575030185
Jack Renauld,0.005440805323844956,0.1654331989217368,0.0,0.23876738188313398,0.0987140108818057,0.08166588017992657,0.11499877470091563,0.048454761710269995,0.040480144764954554,0.03977459106123191
Daubreuil,0.008113183562907656,0.3726971584855565,0.23876738188313398,0.0,0.23836181464997772,0.25374506082951737,0.04407155746652703,0.24298274927410313,0.12881989684490874,0.03365654597790774
M. Hautet,0.021260376414753313,0.17877023809609363,0.0987140108818057,0.23836181464997772,0.0,0.15949951089301012,0.1929525252300221,0.14478480530121318,0.023532569599503273,0.09763060190224802
Hastings,0.002605735209829922,0.04771415898913839,0.08166588017992657,0.25374506082951737,0.15949951089301012,0.0,0.3071746830931004,0.08315226135753237,0.11743252051567483,0.0427460373673969
M. Renauld,0.004742353019805289,0.19198944014970926,0.11499877470091563,0.04407155746652703,0.1929525252300221,0.3071746830931004,0.0,0.4160650324394838,0.21527534734174777,0.0560983404303373
Jack,0.012493347492344974,0.039720730822831646,0.048454761710269995,0.24298274927410313,0.14478480530121318,0.08315226135753237,0.4160650324394838,0.0,0.12120831018679884,0.18882627102693894
Bella,0.024407885895549902,0.0717824041302281,0.040480144764954554,0.12881989684490874,0.023532569599503273,0.11743252051567483,0.21527534734174777,0.12120831018679884,0.0,0.43093192637757805
mon ami,0.0016485842226034346,0.049066890575030185,0.03977459106123191,0.03365654597790774,0.09763060190224802,0.0427460373673969,0.0560983404303373,0.18882627102693894,0.43093192637757805,0.0
