,Poirot,Renauld,Jack Renauld,Daubreuil,M. Hautet,Hastings,M. Renauld,Jack,Bella,mon ami
Poirot,0.0,0.01166448071078793,0.004870038308122486,0.007416566176581251,0.018514017557130783,0.0023034404985764786,0.004250647313273532,0.011309937052541123,0.021003984525236826,0.0015403125372661487
Renauld,0.01166448071078793,0.0,0.14571703899779098,0.3329920382434775,0.1579337743208355,0.04269436106316723,0.1749017262121398,0.03640973627237083,0.062322299082633974,0.04498906429413626
Jack Renauld,0.004870038308122486,0.14571703899779098,0.0,0.2173652880984546,0.08926348360086656,0.07221772643885936,0.10782147608812809,0.042317384681987806,0.03494043116145971,0.039581720956503294
Daubreuil,0.007416566176581251,0.3329920382434775,0.2173652880984546,0.0,0.2135116769307928,0.22380622414220305,0.04128367471559077,0.21466673235377653,0.11204731662341182,0.03169995355996907
M. Hautet,0.018514017557130783,0.1579337743208355,0.08926348360086656,0.2135116769307928,0.0,0.13880684436486246,0.1752581143391308,0.1275418792009023,0.02051361402184207,0.08773471231185014
Hastings,0.0023034404985764786,0.04269436106316723,0.07221772643885936,0.22380622414220305,0.13880684436486246,0.0,0.2746854679260518,0.07410224366183077,0.10085913359767447,0.04024821810355233
M. Renauld,0.004250647313273532,0.1749017262121398,0.10782147608812809,0.04128367471559077,0.1752581143391308,0.2746854679260518,0.0,0.3724093690376259,0.19081813206550177,0.050683127298854026
Jack,0.011309937052541123,0.03640973627237083,0.042317384681987806,0.21466673235377653,0.1275418792009023,0.07410224366183077,0.3724093690376259,0.0,0.10488498042324157,0.17547161808880132
Bella,0.021003984525236826,0.062322299082633974,0.03494043116145971,0.11204731662341182,0.02051361402184207,0.10085913359767447,0.19081813206550177,0.10488498042324157,0.0,0.39120115969502867
mon ami,0.0015403125372661487,0.04498906429413626,0.039581720956503294,0.03169995355996907,0.08773471231185014,0.04024821810355233,0.050683127298854026,0.17547161808880132,0.39120115969502867,0.0
