,Poirot,Renauld,Jack Renauld,Daubreuil,M. Hautet,Hastings,M. Renauld,Jack,Bella,mon ami
Poirot,0.0,0.0152200942960543,0.006056859945603459,0.008818621610286195,0.02419443587263352,0.00292571400583872,0.005260868375749974,0.013914181523288771,0.02808224102946263,0.0017611944047417878
Renauld,0.0152200942960543,0.0,0.18648283178005792,0.41362962325025876,0.2009158178047432,0.0529037798818711,0.20909021852800386,0.043542956996223035,0.08189022779257642,0.05312289164338547
Jack Renauld,0.006056859945603459,0.18648283178005792,0.0,0.2603119592973876,0.10864518992900621,0.091888574252844,0.12197238736512529,0.0551913302164964,0.046447174470266445,0.04011185582575776
Daubreuil,0.008818621610286195,0.41362962325025876,0.2603119592973876,0.0,0.26379908942769287,0.2852063092024615,0.04681742877402496,0.27312750284246456,0.14668542971294302,0.035622132242077637
M. Hautet,0.02419443587263352,0.2009158178047432,0.10864518992900621,0.26379908942769287,0.0,0.1816882367900027,0.21067137264112035,0.163738079431128,0.02674446223201919,0.10808119491768209
Hastings,0.00292571400583872,0.0529037798818711,0.091888574252844,0.2852063092024615,0.1816882367900027,0.0,0.3405792239347588,0.09327937854140349,0.1353806944550232,0.045130320008406714
M. Renauld,0.005260868375749974,0.20909021852800386,0.12197238736512529,0.04681742877402496,0.21067137264112035,0.3405792239347588,0.0,0.46149338501996096,0.2405968143754511,0.06179999715638345
Jack,0.013914181523288771,0.043542956996223035,0.0551913302164964,0.27312750284246456,0.163738079431128,0.09327937854140349,0.46149338501996096,0.0,0.13871401468670205,0.20249264797844113
Bella,0.02808224102946263,0.08189022779257642,0.046447174470266445,0.14668542971294302,0.02674446223201919,0.1353806944550232,0.2405968143754511,0.13871401468670205,0.0,0.4711785772973763
mon ami,0.0017611944047417878,0.05312289164338547,0.04011185582575776,0.035622132242077637,0.10808119491768209,0.045130320008406714,0.06179999715638345,0.20249264797844113,0.4711785772973763,0.0
