,Poirot,Inglethorp,John,Cynthia,Howard,Lawrence,Cavendish,Bauerstein,Hastings,Mary
Poirot,0.0,0.0244820005569926,0.022815398657233192,0.017261291904376024,0.015657461993439287,0.00838355237831399,0.0069819898498436495,0.016514077865260993,0.0042893742115541825,0.008651198979896161
Inglethorp,0.0244820005569926,0.0,0.07959362676432452,0.04094729185400708,0.022118797298646315,0.019229067202976083,0.015900747166543314,0.04650107959168255,0.010844206540179539,0.011240892166700022
John,0.022815398657233192,0.07959362676432452,0.0,0.07111236868888135,0.09851332698765443,0.03048688788230933,0.06735283532520875,0.013864311181444914,0.020845877873605992,0.023241626493008684
Cynthia,0.017261291904376024,0.04094729185400708,0.07111236868888135,0.0,0.29751468664594666,0.13924227106411607,0.29581178097304694,0.07262509103674208,0.052363963761828114,0.07968997909688465
Howard,0.015657461993439287,0.022118797298646315,0.09851332698765443,0.29751468664594666,0.0,0.16609072167915695,0.08843244507956262,0.18734372133017207,0.0784928579114743,0.09426284375153263
Lawrence,0.00838355237831399,0.019229067202976083,0.03048688788230933,0.13924227106411607,0.16609072167915695,0.0,0.18973070483225107,0.08043639043750576,0.08195887146072253,0.05301265983858076
Cavendish,0.0069819898498436495,0.015900747166543314,0.06735283532520875,0.29581178097304694,0.08843244507956262,0.18973070483225107,0.0,0.28157118238032364,0.14878215885909746,0.0984491001851722
Bauerstein,0.016514077865260993,0.04650107959168255,0.013864311181444914,0.07262509103674208,0.18734372133017207,0.08043639043750576,0.28157118238032364,0.0,0.1401916767595363,0.18662790466482776
Hastings,0.0042893742115541825,0.010844206540179539,0.020845877873605992,0.052363963761828114,0.0784928579114743,0.08195887146072253,0.14878215885909746,0.1401916767595363,0.0,0.25440562647710263
Mary,0.008651198979896161,0.011240892166700022,0.023241626493008684,0.07968997909688465,0.09426284375153263,0.05301265983858076,0.0984491001851722,0.18662790466482776,0.25440562647710263,0.0
