,Poirot,Inglethorp,John,Cynthia,Howard,Lawrence,Cavendish,Bauerstein,Hastings,Mary
Poirot,0.0,0.021243321524941523,0.021228616253351137,0.016834965642967173,0.014680102190942547,0.007977487131013317,0.006255511003235982,0.0156257936720573,0.004146162845565016,0.00816992491268291
Inglethorp,0.021243321524941523,0.0,0.07331540088034566,0.039505362698193366,0.021451449126180702,0.01861094718697075,0.01651389962959879,0.04359356216502548,0.010883224084066234,0.0103787545409914
John,0.021228616253351137,0.07331540088034566,0.0,0.0680961773909542,0.08857332204542859,0.028317043001921796,0.059125589642824064,0.012729476784460979,0.01941648425036321,0.02046582250672126
Cynthia,0.016834965642967173,0.039505362698193366,0.0680961773909542,0.0,0.2689385532084451,0.12786427329517952,0.26767497910705007,0.06750422706879206,0.049441126366568736,0.07008022060435322
Howard,0.014680102190942547,0.021451449126180702,0.08857332204542859,0.2689385532084451,0.0,0.15191057622908644,0.07839081795744487,0.17425174263747284,0.07200783846997517,0.08583448985863738
Lawrence,0.007977487131013317,0.01861094718697075,0.028317043001921796,0.12786427329517952,0.15191057622908644,0.0,0.17316607547966612,0.07591121628050397,0.08204910389213825,0.04749738664421899
Cavendish,0.006255511003235982,0.01651389962959879,0.059125589642824064,0.26767497910705007,0.07839081795744487,0.17316607547966612,0.0,0.26011725731176666,0.1388527022403377,0.08946439433750347
Bauerstein,0.0156257936720573,0.04359356216502548,0.012729476784460979,0.06750422706879206,0.17425174263747284,0.07591121628050397,0.26011725731176666,0.0,0.13534326357927098,0.1673876532230103
Hastings,0.004146162845565016,0.010883224084066234,0.01941648425036321,0.049441126366568736,0.07200783846997517,0.08204910389213825,0.1388527022403377,0.13534326357927098,0.0,0.23417360821624597
Mary,0.00816992491268291,0.0103787545409914,0.02046582250672126,0.07008022060435322,0.08583448985863738,0.04749738664421899,0.08946439433750347,0.1673876532230103,0.23417360821624597,0.0
