,Poirot,Inglethorp,John,Cynthia,Howard,Lawrence,Cavendish,Bauerstein,Hastings,Mary
Poirot,0.0,0.028013724967150835,0.024313772989412723,0.017558000724835425,0.016695464561746892,0.008768706335487944,0.007766383055084137,0.01730146436644209,0.004419945236062354,0.009079753483223783
Inglethorp,0.028013724967150835,0.0,0.08592194112535043,0.042123669223945004,0.02284200810195148,0.01990266520146493,0.015469437982031977,0.04920107619791279,0.010827206777743022,0.012084453782901274
John,0.024313772989412723,0.08592194112535043,0.0,0.0737772036232693,0.109027874509673,0.032658766682109264,0.07622698032056785,0.015003873906105011,0.02227468629024744,0.02618428583214341
Cynthia,0.017558000724835425,0.042123669223945004,0.0737772036232693,0.0,0.3267247174821045,0.15052149909450185,0.3246405932635488,0.07751842743558227,0.05532509454118329,0.08986777703923453
Howard,0.016695464561746892,0.02284200810195148,0.109027874509673,0.3267247174821045,0.0,0.18059136245420562,0.09933062455247736,0.19987908747925093,0.08502551477425141,0.10270028218862999
Lawrence,0.008768706335487944,0.01990266520146493,0.032658766682109264,0.15052149909450185,0.18059136245420562,0.0,0.2068988457337728,0.08467972747470712,0.08145967317346517,0.058834162440505176
Cavendish,0.007766383055084137,0.015469437982031977,0.07622698032056785,0.3246405932635488,0.09933062455247736,0.2068988457337728,0.0,0.3029583087958467,0.15867777812947714,0.10737965495721988
Bauerstein,0.01730146436644209,0.04920107619791279,0.015003873906105011,0.07751842743558227,0.19987908747925093,0.08467972747470712,0.3029583087958467,0.0,0.1444804163555626,0.20620624956297057
Hastings,0.004419945236062354,0.010827206777743022,0.02227468629024744,0.05532509454118329,0.08502551477425141,0.08145967317346517,0.15867777812947714,0.1444804163555626,0.0,0.2745944342621279
Mary,0.009079753483223783,0.012084453782901274,0.02618428583214341,0.08986777703923453,0.10270028218862999,0.058834162440505176,0.10737965495721988,0.20620624956297057,0.2745944342621279,0.0
