,Tommy,James,Tuppence,Vandemeyer,Carter,Whittington,Brown,Julius,Jane,Albert
Tommy,0.0,0.2947840330937267,0.10307758041139903,0.3642674310978613,0.019512886433316286,0.018025742482470346,0.07950208493665643,0.05553750923385395,0.14004707841460728,0.02768003593370752
James,0.2947840330937267,0.0,0.24491596801442342,0.11681539767130997,0.22150742926034747,0.35927386731391586,0.05980953909394981,0.03613404917686789,0.027016936277213903,0.21559172695122875
Tuppence,0.10307758041139903,0.24491596801442342,0.0,0.48086489882334316,0.10541874920158406,0.11524575242718446,0.05845500088799431,0.03537046991522444,0.03704027724146808,0.18875773902078274
Vandemeyer,0.3642674310978613,0.11681539767130997,0.48086489882334316,0.0,0.43827885475217176,0.7053496030542072,0.23561090771519064,0.15997088587835936,0.05150454982163874,0.17488364802980882
Carter,0.019512886433316286,0.22150742926034747,0.10541874920158406,0.43827885475217176,0.0,0.27272609476132686,0.1561787754558371,0.12857825581293092,0.26860309902728746,0.2176846994937045
Whittington,0.018025742482470346,0.35927386731391586,0.11524575242718446,0.7053496030542072,0.27272609476132686,0.0,0.4566839147229458,0.4358249898867314,0.663083926338629,0.3755272430123634
Brown,0.07950208493665643,0.05980953909394981,0.05845500088799431,0.23561090771519064,0.1561787754558371,0.4566839147229458,0.0,0.057535292009638375,0.15602087125809064,0.2557787848907767
Julius,0.05553750923385395,0.03613404917686789,0.03537046991522444,0.15997088587835936,0.12857825581293092,0.4358249898867314,0.057535292009638375,0.0,0.216965525246396,0.2833608979160347
Jane,0.14004707841460728,0.027016936277213903,0.03704027724146808,0.05150454982163874,0.26860309902728746,0.663083926338629,0.15602087125809064,0.216965525246396,0.0,0.35162101671533674
Albert,0.02768003593370752,0.21559172695122875,0.18875773902078274,0.17488364802980882,0.2176846994937045,0.3755272430123634,0.2557787848907767,0.2833608979160347,0.35162101671533674,0.0
