,Tommy,James,Tuppence,Vandemeyer,Carter,Whittington,Brown,Julius,Jane,Albert
Tommy,0.0,0.256905987474787,0.08984119002739918,0.31850055277342826,0.01739610400170547,0.016259760188928756,0.06829129226305942,0.04769099547041033,0.1212232402317604,0.02421148240724723
James,0.256905987474787,0.0,0.22471160840065874,0.10296553118091509,0.20214850321008376,0.33575271835549925,0.05777477369245677,0.03242470787791992,0.023496985932133126,0.18951618205320503
Tuppence,0.08984119002739918,0.22471160840065874,0.0,0.43879328563073106,0.09738863654791914,0.11034996599323478,0.052135186878953604,0.031524081643985166,0.03224777656191867,0.16528848720211853
Vandemeyer,0.31850055277342826,0.10296553118091509,0.43879328563073106,0.0,0.39492608001044566,0.6434215928963011,0.2137203616169264,0.14710334192127142,0.04624357235250696,0.15336267970839346
Carter,0.01739610400170547,0.20214850321008376,0.09738863654791914,0.39492608001044566,0.0,0.2520454997864291,0.1397083964148098,0.11684844456895098,0.23792376542788796,0.19265903677838703
Whittington,0.016259760188928756,0.33575271835549925,0.11034996599323478,0.6434215928963011,0.2520454997864291,0.0,0.41322822808709814,0.3920353725912752,0.5914984076022749,0.3427447616776322
Brown,0.06829129226305942,0.05777477369245677,0.052135186878953604,0.2137203616169264,0.1397083964148098,0.41322822808709814,0.0,0.05252040223076032,0.13738388875202925,0.22455983795234843
Julius,0.04769099547041033,0.03242470787791992,0.031524081643985166,0.14710334192127142,0.11684844456895098,0.3920353725912752,0.05252040223076032,0.0,0.1917069113118619,0.24997135805169093
Jane,0.1212232402317604,0.023496985932133126,0.03224777656191867,0.04624357235250696,0.23792376542788796,0.5914984076022749,0.13738388875202925,0.1917069113118619,0.0,0.30595766606222663
Albert,0.02421148240724723,0.18951618205320503,0.16528848720211853,0.15336267970839346,0.19265903677838703,0.3427447616776322,0.22455983795234843,0.24997135805169093,0.30595766606222663,0.0
