,Tommy,James,Tuppence,Vandemeyer,Carter,Whittington,Brown,Julius,Jane,Albert
Tommy,0.0,0.3352035847170636,0.11714383224924238,0.41256080723746574,0.02173624315851283,0.019858577816460592,0.09165145536232622,0.06409050507784757,0.1601985560284927,0.03134245131066467
James,0.3352035847170636,0.0,0.26544286345806856,0.13130397381879666,0.24072052101533786,0.3824565032379838,0.06197474079429312,0.03996970402310107,0.0307894914176879,0.2428783811194471
Tuppence,0.11714383224924238,0.26544286345806856,0.0,0.5235244798901407,0.11332583023273415,0.1199507230233298,0.06498016177550545,0.03937196549750938,0.04216728740522185,0.2134261073333726
Vandemeyer,0.41256080723746574,0.13130397381879666,0.5235244798901407,0.0,0.4820561098320531,0.7671760293915649,0.2574605207127922,0.17281509944544596,0.05707314706830397,0.19745854693772952
Carter,0.02173624315851283,0.24072052101533786,0.11332583023273415,0.4820561098320531,0.0,0.2933037099271653,0.1732458472485039,0.1408040628777802,0.3006874760845122,0.24379253929676564
Whittington,0.019858577816460592,0.3824565032379838,0.1199507230233298,0.7671760293915649,0.2933037099271653,0.0,0.5009776418073983,0.48107534120367157,0.7372753093216535,0.40793707278148383
Brown,0.09165145536232622,0.06197474079429312,0.06498016177550545,0.2574605207127922,0.1732458472485039,0.5009776418073983,0.0,0.06294913245601405,0.17571576682635343,0.28858952434979274
Julius,0.06409050507784757,0.03996970402310107,0.03937196549750938,0.17281509944544596,0.1408040628777802,0.48107534120367157,0.06294913245601405,0.0,0.24330389961619017,0.318257821338666
Jane,0.1601985560284927,0.0307894914176879,0.04216728740522185,0.05707314706830397,0.3006874760845122,0.7372753093216535,0.17571576682635343,0.24330389961619017,0.0,0.4002218675551243
Albert,0.03134245131066467,0.2428783811194471,0.2134261073333726,0.19745854693772952,0.24379253929676564,0.40793707278148383,0.28858952434979274,0.318257821338666,0.4002218675551243,0.0
