,Anthony,Caterham,Battle,George,Bill,Cade,Superintendent Battle,Baron,Lomax,Fish
Anthony,0.0,0.026241778146643184,0.008733123332337668,0.020140186956158296,0.03081736069147941,0.0038738357442342775,0.004823827692874814,0.005582611548019622,0.00851203372793302,0.011037424973949175
Caterham,0.026241778146643184,0.0,0.12479626824003137,0.10056419784685289,0.4022348810956672,0.04454693631284667,0.03960950514847608,0.12791244740573482,0.02735935605713499,0.02634489049897294
Battle,0.008733123332337668,0.12479626824003137,0.0,0.0763524963251949,0.45449124028364085,0.06514289474285861,0.014977624999235016,0.07155326329551728,0.030802228633282122,0.05114022096361487
George,0.020140186956158296,0.10056419784685289,0.0763524963251949,0.0,0.5832783943866616,0.13158204953624938,0.04048571385030126,0.14139278561408142,0.05197470124144943,0.08100771717357333
Bill,0.03081736069147941,0.4022348810956672,0.45449124028364085,0.5832783943866616,0.0,0.44177564095057575,0.5950274256203569,0.8380723199471425,0.3763704693801671,0.43675880897534336
Cade,0.0038738357442342775,0.04454693631284667,0.06514289474285861,0.13158204953624938,0.44177564095057575,0.0,0.16539765199587073,0.36716858227248783,0.05182776648995877,0.031734989503098034
Superintendent Battle,0.004823827692874814,0.03960950514847608,0.014977624999235016,0.04048571385030126,0.5950274256203569,0.16539765199587073,0.0,0.22839361164320582,0.07097545364568465,0.06512764364056915
Baron,0.005582611548019622,0.12791244740573482,0.07155326329551728,0.14139278561408142,0.8380723199471425,0.36716858227248783,0.22839361164320582,0.0,0.2391339381357298,0.21491577320858102
Lomax,0.00851203372793302,0.02735935605713499,0.030802228633282122,0.05197470124144943,0.3763704693801671,0.05182776648995877,0.07097545364568465,0.2391339381357298,0.0,0.13178625259505733
Fish,0.011037424973949175,0.02634489049897294,0.05114022096361487,0.08100771717357333,0.43675880897534336,0.031734989503098034,0.06512764364056915,0.21491577320858102,0.13178625259505733,0.0
