,Anthony,Caterham,Battle,George,Bill,Cade,Superintendent Battle,Baron,Lomax,Fish
Anthony,0.0,0.02435879255356025,0.007634792220783372,0.018106107118490887,0.03107465790117313,0.003587112197440892,0.004237432989164921,0.004809400207012694,0.008026732495950853,0.009914393697541308
Caterham,0.02435879255356025,0.0,0.11273084145036472,0.0908518134347147,0.37373957000105906,0.04378840074920035,0.037407834851150845,0.11239462841403625,0.024735733242321225,0.02695298444996098
Battle,0.007634792220783372,0.11273084145036472,0.0,0.06846542863651875,0.422651032307876,0.06647172270977851,0.013280205969913974,0.061945036763614465,0.02869757245159728,0.05006056498947895
George,0.018106107118490887,0.0908518134347147,0.06846542863651875,0.0,0.5385984028671411,0.12853841379931807,0.03700267346127321,0.12229221826248796,0.0506794687327213,0.07910655645578549
Bill,0.03107465790117313,0.37373957000105906,0.422651032307876,0.5385984028671411,0.0,0.40383665846963734,0.5360790704245281,0.7463093683260233,0.3363735270146715,0.39404117203450145
Cade,0.003587112197440892,0.04378840074920035,0.06647172270977851,0.12853841379931807,0.40383665846963734,0.0,0.15135271022864094,0.3230630980880671,0.04685591793727622,0.029130971331121927
Superintendent Battle,0.004237432989164921,0.037407834851150845,0.013280205969913974,0.03700267346127321,0.5360790704245281,0.15135271022864094,0.0,0.19916419287964704,0.06625455014505151,0.06478532691074691
Baron,0.004809400207012694,0.11239462841403625,0.061945036763614465,0.12229221826248796,0.7463093683260233,0.3230630980880671,0.19916419287964704,0.0,0.21496895599621646,0.20017657447759002
Lomax,0.008026732495950853,0.024735733242321225,0.02869757245159728,0.0506794687327213,0.3363735270146715,0.04685591793727622,0.06625455014505151,0.21496895599621646,0.0,0.12690129869935127
Fish,0.009914393697541308,0.02695298444996098,0.05006056498947895,0.07910655645578549,0.39404117203450145,0.029130971331121927,0.06478532691074691,0.20017657447759002,0.12690129869935127,0.0
