,Anthony,Caterham,Battle,George,Bill,Cade,Superintendent Battle,Baron,Lomax,Fish
Anthony,0.0,0.02810878565919723,0.009915151067825253,0.022204181577442875,0.03031299776390637,0.004185409643933803,0.0054463380560900495,0.006435453511656638,0.00898091249219342,0.012226621801141707
Caterham,0.02810878565919723,0.0,0.13732492121480386,0.11046498443379696,0.4297558717514958,0.045365536433599515,0.04187184451197642,0.1446119379548758,0.03004525886444191,0.02595055756332072
Battle,0.009915151067825253,0.13732492121480386,0.0,0.08453669057775959,0.4848832888006954,0.0638209655927883,0.016821008066675865,0.08212609138950554,0.03284530723004667,0.0524370254227313
George,0.022204181577442875,0.11046498443379696,0.08453669057775959,0.0,0.6268100320406491,0.13432754777063685,0.04413758374864645,0.162075846414195,0.05295589163314224,0.08283873578255414
Bill,0.03031299776390637,0.4297558717514958,0.4848832888006954,0.6268100320406491,0.0,0.48047209790664985,0.6549044808219093,0.9332211651671122,0.4173801384018823,0.4809075835014884
Cade,0.004185409643933803,0.045365536433599515,0.0638209655927883,0.13432754777063685,0.48047209790664985,0.0,0.17971018412780762,0.413874525574552,0.056989446112565116,0.03470109558315533
Superintendent Battle,0.0054463380560900495,0.04187184451197642,0.016821008066675865,0.04413758374864645,0.6549044808219093,0.17971018412780762,0.0,0.25975801340076277,0.0755791146982161,0.06542468936238323
Baron,0.006435453511656638,0.1446119379548758,0.08212609138950554,0.162075846414195,0.9332211651671122,0.413874525574552,0.25975801340076277,0.0,0.26436535410413686,0.230203025197695
Lomax,0.00898091249219342,0.03004525886444191,0.03284530723004667,0.05295589163314224,0.4173801384018823,0.056989446112565116,0.0755791146982161,0.26436535410413686,0.0,0.13687958753083967
Fish,0.012226621801141707,0.02595055756332072,0.0524370254227313,0.08283873578255414,0.4809075835014884,0.03470109558315533,0.06542468936238323,0.230203025197695,0.13687958753083967,0.0
