,Scrooge,Bob,Ghost,Marley,Joe,Cratchit,Tiny Tim,Peter,Bob Cratchit,Fred
Scrooge,0.0,0.01736769352870717,0.0017704224691366868,0.0024304515551642194,0.017865412767779733,0.0034556798949149934,0.005301799907575114,0.009153331678997434,0.004100672779784619,0.0032976849608571924
Bob,0.01736769352870717,0.0,0.35098102190834657,0.2977276089914077,0.31476182055917823,0.020760603228332536,0.008847230002719236,0.029045482845675742,0.074894115071446,0.22445614607182798
Ghost,0.0017704224691366868,0.35098102190834657,0.0,0.35682168388612434,0.23697173314471923,0.27289514234470913,0.20240156082136287,0.1194331472453078,0.3150760771633785,0.1359697972474894
Marley,0.0024304515551642194,0.2977276089914077,0.35682168388612434,0.0,0.5571092963418728,0.20433601940030818,0.2925767371641611,0.3841442303548848,0.05785569336735121,0.22024907166494054
Joe,0.017865412767779733,0.31476182055917823,0.23697173314471923,0.5571092963418728,0.0,0.6537436532194912,0.5861609351851989,0.4193741558057532,0.6822083849075036,0.4891045499325995
Cratchit,0.0034556798949149934,0.020760603228332536,0.27289514234470913,0.20433601940030818,0.6537436532194912,0.0,0.2119248891867354,0.3350267987559791,0.12336962470844803,0.3504410309169447
Tiny Tim,0.005301799907575114,0.008847230002719236,0.20240156082136287,0.2925767371641611,0.5861609351851989,0.2119248891867354,0.0,0.2678359948824555,0.10378407052820368,0.3030012148156993
Peter,0.009153331678997434,0.029045482845675742,0.1194331472453078,0.3841442303548848,0.4193741558057532,0.3350267987559791,0.2678359948824555,0.0,0.4175297446131307,0.3138564772181869
Bob Cratchit,0.004100672779784619,0.074894115071446,0.3150760771633785,0.05785569336735121,0.6822083849075036,0.12336962470844803,0.10378407052820368,0.4175297446131307,0.0,0.601402664327362
Fred,0.0032976849608571924,0.22445614607182798,0.1359697972474894,0.22024907166494054,0.4891045499325995,0.3504410309169447,0.3030012148156993,0.3138564772181869,0.601402664327362,0.0
