,Scrooge,Bob,Ghost,Marley,Joe,Cratchit,Tiny Tim,Peter,Bob Cratchit,Fred
Scrooge,0.0,0.015455231983394433,0.001586786571063094,0.0024745630125646368,0.01586758851147516,0.0032574239056990958,0.00470036721083421,0.008304406268105422,0.005240852507584642,0.0029863789132047723
Bob,0.015455231983394433,0.0,0.3225407479804831,0.2758444502472696,0.27717648632324543,0.021873623584102504,0.00813127645372733,0.027704520127155713,0.08410609352574538,0.2135042157509702
Ghost,0.001586786571063094,0.3225407479804831,0.0,0.3430717080131167,0.21597205937023542,0.26355173524534947,0.1904194536417924,0.11023204985228958,0.3131581813718184,0.11997601152065364
Marley,0.0024745630125646368,0.2758444502472696,0.3430717080131167,0.0,0.5045653610996546,0.18916981097561064,0.26558803419970306,0.343023676977473,0.06083436847093909,0.19315163639008662
Joe,0.01586758851147516,0.27717648632324543,0.21597205937023542,0.5045653610996546,0.0,0.6046300893113938,0.5379975458309024,0.3858402789775758,0.6327256576971828,0.4306074032989868
Cratchit,0.0032574239056990958,0.021873623584102504,0.26355173524534947,0.18916981097561064,0.6046300893113938,0.0,0.18977296486908662,0.3095860689827455,0.12137628594994891,0.32180841350082035
Tiny Tim,0.00470036721083421,0.00813127645372733,0.1904194536417924,0.26558803419970306,0.5379975458309024,0.18977296486908662,0.0,0.24582565989002564,0.11284136731346367,0.2855113741552415
Peter,0.008304406268105422,0.027704520127155713,0.11023204985228958,0.343023676977473,0.3858402789775758,0.3095860689827455,0.24582565989002564,0.0,0.4019114519299236,0.2869104498540455
Bob Cratchit,0.005240852507584642,0.08410609352574538,0.3131581813718184,0.06083436847093909,0.6327256576971828,0.12137628594994891,0.11284136731346367,0.4019114519299236,0.0,0.5671542691942251
Fred,0.0029863789132047723,0.2135042157509702,0.11997601152065364,0.19315163639008662,0.4306074032989868,0.32180841350082035,0.2855113741552415,0.2869104498540455,0.5671542691942251,0.0
