,Lorry,Manette,Cruncher,Carton,Miss Pross,Darnay,Jerry,Stryver,Marquis,Pross
Lorry,0.0,0.02044190028963397,0.11295903062000551,0.0414728772401695,0.10862157665707924,0.01734574112049264,0.014233016199840586,0.01839894152007623,0.02645443974347525,0.046742666422891266
Manette,0.02044190028963397,0.0,0.37812110601510807,0.2445530477365737,0.20141737992082048,0.1396293712603396,0.1275890165216126,0.06169661908549532,0.14045994033368553,0.07741023709006023
Cruncher,0.11295903062000551,0.37812110601510807,0.0,0.19173480365760714,0.24707640987406523,0.44883090692369676,0.3891821996745153,0.17627154654303817,0.10974138622173522,0.15837645572706022
Carton,0.0414728772401695,0.2445530477365737,0.19173480365760714,0.0,0.2230612071526451,0.32274884909875545,0.3006337297394064,0.09387666023825433,0.14394718351400307,0.14825608238131643
Miss Pross,0.10862157665707924,0.20141737992082048,0.24707640987406523,0.2230612071526451,0.0,0.3048442631863687,0.21931642437587232,0.28519708310991265,0.1958271873466219,0.006220082107992507
Darnay,0.01734574112049264,0.1396293712603396,0.44883090692369676,0.32274884909875545,0.3048442631863687,0.0,0.11997930930970253,0.24541704626096203,0.23397380326802458,0.15668341699262395
Jerry,0.014233016199840586,0.1275890165216126,0.3891821996745153,0.3006337297394064,0.21931642437587232,0.11997930930970253,0.0,0.3769321168972175,0.3413343868689785,0.15704665621387226
Stryver,0.01839894152007623,0.06169661908549532,0.17627154654303817,0.09387666023825433,0.28519708310991265,0.24541704626096203,0.3769321168972175,0.0,0.23444448862240166,0.29156024576994255
Marquis,0.02645443974347525,0.14045994033368553,0.10974138622173522,0.14394718351400307,0.1958271873466219,0.23397380326802458,0.3413343868689785,0.23444448862240166,0.0,0.1989491340432369
Pross,0.046742666422891266,0.07741023709006023,0.15837645572706022,0.14825608238131643,0.006220082107992507,0.15668341699262395,0.15704665621387226,0.29156024576994255,0.1989491340432369,0.0
