,Lorry,Manette,Cruncher,Carton,Miss Pross,Darnay,Jerry,Stryver,Marquis,Pross
Lorry,0.0,0.017886099982327864,0.09659783126447281,0.03557780398951759,0.09267900430966865,0.015607712079246354,0.0130359696150846,0.016050180087933148,0.023177211117765446,0.03994916639439266
Manette,0.017886099982327864,0.0,0.34024015415330344,0.2221155830220065,0.17687301051713472,0.1305392146620697,0.11831729752356207,0.054371969863805894,0.12446253656539394,0.06835792466705956
Cruncher,0.09659783126447281,0.34024015415330344,0.0,0.17054715064222778,0.22694403124320733,0.4020458611665707,0.3600384199131929,0.15664661488066567,0.09544970754709448,0.15466768532049177
Carton,0.03557780398951759,0.2221155830220065,0.17054715064222778,0.0,0.20219339285638216,0.2905305444050645,0.2797006056191389,0.08228964106846459,0.1282269776288272,0.13822719628574706
Miss Pross,0.09267900430966865,0.17687301051713472,0.22694403124320733,0.20219339285638216,0.0,0.2759124345719002,0.20170520751257862,0.24800049318219164,0.17635619400948782,0.0060270816394136445
Darnay,0.015607712079246354,0.1305392146620697,0.4020458611665707,0.2905305444050645,0.2759124345719002,0.0,0.11195749163855535,0.21573283941829702,0.20728643968627325,0.14173809945073115
Jerry,0.0130359696150846,0.11831729752356207,0.3600384199131929,0.2797006056191389,0.20170520751257862,0.11195749163855535,0.0,0.3389759148814855,0.31054378014581685,0.14081066217012148
Stryver,0.016050180087933148,0.054371969863805894,0.15664661488066567,0.08228964106846459,0.24800049318219164,0.21573283941829702,0.3389759148814855,0.0,0.20713045216247278,0.26631102099810133
Marquis,0.023177211117765446,0.12446253656539394,0.09544970754709448,0.1282269776288272,0.17635619400948782,0.20728643968627325,0.31054378014581685,0.20713045216247278,0.0,0.18907003862477412
Pross,0.03994916639439266,0.06835792466705956,0.15466768532049177,0.13822719628574706,0.0060270816394136445,0.14173809945073115,0.14081066217012148,0.26631102099810133,0.18907003862477412,0.0
