,Lorry,Manette,Cruncher,Carton,Miss Pross,Darnay,Jerry,Stryver,Marquis,Pross
Lorry,0.0,0.023161983536073225,0.13082057287800083,0.047889005151508825,0.12608048752790435,0.019137672319188188,0.015430447020147547,0.020897830119310686,0.029921886585223212,0.05418697628735435
Manette,0.023161983536073225,0.0,0.41773569213418804,0.2676074498136474,0.22798109834561608,0.14861251198737013,0.13661704738786984,0.06941793398221287,0.1571409345427828,0.08756535427002607
Cruncher,0.13082057287800083,0.41773569213418804,0.0,0.21406985801890027,0.26819827940347624,0.49713008082105375,0.41810156340275384,0.19686241352357003,0.12498562787036431,0.16198544342017018
Carton,0.047889005151508825,0.2676074498136474,0.21406985801890027,0.0,0.24541677336818946,0.3554549994159791,0.3209948554556353,0.10620299079076445,0.1603043248205281,0.15925948831635792
Miss Pross,0.12608048752790435,0.22798109834561608,0.26819827940347624,0.24541677336818946,0.0,0.33525368828992197,0.23715890239253107,0.32511847526981275,0.21577110660461496,0.006504305071268183
Darnay,0.019137672319188188,0.14861251198737013,0.49713008082105375,0.3554549994159791,0.33525368828992197,0.0,0.12825465877806846,0.2764884727141521,0.2615923934390477,0.17342917774757835
Jerry,0.015430447020147547,0.13661704738786984,0.41810156340275384,0.3209948554556353,0.23715890239253107,0.12825465877806846,0.0,0.41583677470660413,0.37219803210266067,0.17447920660968777
Stryver,0.020897830119310686,0.06941793398221287,0.19686241352357003,0.10620299079076445,0.32511847526981275,0.2764884727141521,0.41583677470660413,0.0,0.2630871551295577,0.3186008933949928
Marquis,0.029921886585223212,0.1571409345427828,0.12498562787036431,0.1603043248205281,0.21577110660461496,0.2615923934390477,0.37219803210266067,0.2630871551295577,0.0,0.20931442553233992
Pross,0.05418697628735435,0.08756535427002607,0.16198544342017018,0.15925948831635792,0.006504305071268183,0.17342917774757835,0.17447920660968777,0.3186008933949928,0.20931442553233992,0.0
