,Richard,George,Bucket,Jarndyce,Snagsby,Ada,Guppy,Leicester,Tulkinghorn,Charley
Richard,0.0,0.2781778899328025,0.37189157050819377,0.04842242113964019,0.11911900473936018,0.01410756949921438,0.1076118859598747,0.07397628722333643,0.08243545500666695,0.08319741875306985
George,0.2781778899328025,0.0,0.21276554020227834,0.4226426059792939,0.15082810682084877,0.35911669289966475,0.31102397734522086,0.17117232628939033,0.21400300802680108,0.2442292351161066
Bucket,0.37189157050819377,0.21276554020227834,0.0,0.6101222787863929,0.3488211035274459,0.5610381892856968,0.5404277818549098,0.2934179862328982,0.43683912041726247,0.5646819473481404
Jarndyce,0.04842242113964019,0.4226426059792939,0.6101222787863929,0.0,0.24173081894084122,0.08478486112729847,0.11882711081644715,0.21114297794881717,0.08559067109113908,0.05253727768067279
Snagsby,0.11911900473936018,0.15082810682084877,0.3488211035274459,0.24173081894084122,0.0,0.2844145691269359,0.2231585292858485,0.11616124387822623,0.09493002984300412,0.19646066473427698
Ada,0.01410756949921438,0.35911669289966475,0.5610381892856968,0.08478486112729847,0.2844145691269359,0.0,0.16475772313065115,0.28158887138226246,0.12238050571133649,0.14226522888424994
Guppy,0.1076118859598747,0.31102397734522086,0.5404277818549098,0.11882711081644715,0.2231585292858485,0.16475772313065115,0.0,0.24683137910923691,0.14550016989638254,0.12926784388605475
Leicester,0.07397628722333643,0.17117232628939033,0.2934179862328982,0.21114297794881717,0.11616124387822623,0.28158887138226246,0.24683137910923691,0.0,0.10776773798320362,0.21882382627607222
Tulkinghorn,0.08243545500666695,0.21400300802680108,0.43683912041726247,0.08559067109113908,0.09493002984300412,0.12238050571133649,0.14550016989638254,0.10776773798320362,0.0,0.28095898660868046
Charley,0.08319741875306985,0.2442292351161066,0.5646819473481404,0.05253727768067279,0.19646066473427698,0.14226522888424994,0.12926784388605475,0.21882382627607222,0.28095898660868046,0.0
