,Richard,George,Bucket,Jarndyce,Snagsby,Ada,Guppy,Leicester,Tulkinghorn,Charley
Richard,0.0,0.24873698521686752,0.33488416365044227,0.04834617631897637,0.10957100835976545,0.014037128987298642,0.10267257905737723,0.06686777264277836,0.077004133324955,0.08211468049612679
George,0.24873698521686752,0.0,0.1932351080533541,0.3857258210495591,0.13985973276579772,0.3251428660353502,0.2874265211095289,0.15869428234384228,0.19930593046059636,0.22932636634524978
Bucket,0.33488416365044227,0.1932351080533541,0.0,0.5616873801419079,0.3224902650031389,0.5132266394550032,0.5014108588197418,0.2652356904214693,0.40005909473634726,0.5266521233658714
Jarndyce,0.04834617631897637,0.3857258210495591,0.5616873801419079,0.0,0.21883143111697634,0.07627100491986376,0.10914394442737226,0.19240355239837953,0.07799087118370325,0.04768680090411355
Snagsby,0.10957100835976545,0.13985973276579772,0.3224902650031389,0.21883143111697634,0.0,0.25988198910439075,0.2056837041811124,0.10293870453554223,0.08610687651822473,0.18201049563228944
Ada,0.014037128987298642,0.3251428660353502,0.5132266394550032,0.07627100491986376,0.25988198910439075,0.0,0.15293261672384018,0.25542529181018814,0.11200844154336728,0.1310082396635739
Guppy,0.10267257905737723,0.2874265211095289,0.5014108588197418,0.10914394442737226,0.2056837041811124,0.15293261672384018,0.0,0.2308100946759003,0.13372484465985635,0.12115359574126
Leicester,0.06686777264277836,0.15869428234384228,0.2652356904214693,0.19240355239837953,0.10293870453554223,0.25542529181018814,0.2308100946759003,0.0,0.10061577842828227,0.21325782393676995
Tulkinghorn,0.077004133324955,0.19930593046059636,0.40005909473634726,0.07799087118370325,0.08610687651822473,0.11200844154336728,0.13372484465985635,0.10061577842828227,0.0,0.26139115601979146
Charley,0.08211468049612679,0.22932636634524978,0.5266521233658714,0.04768680090411355,0.18201049563228944,0.1310082396635739,0.12115359574126,0.21325782393676995,0.26139115601979146,0.0
