,Richard,George,Bucket,Jarndyce,Snagsby,Ada,Guppy,Leicester,Tulkinghorn,Charley
Richard,0.0,0.30850994518076785,0.4092712188382039,0.04862078064200753,0.12924824554832923,0.014172277760674633,0.11281693610331225,0.0813151632101553,0.08777132706769894,0.08516041589671405
George,0.30850994518076785,0.0,0.2326378426499648,0.45986845409361443,0.16183055974500513,0.3934327227996104,0.33455908004080404,0.18342129875302798,0.22815412194029794,0.2596665633898846
Bucket,0.4092712188382039,0.2326378426499648,0.0,0.6580680955905185,0.37486290808328726,0.6084415684191324,0.578682799302294,0.3218680931888965,0.4732142578548249,0.6025303798805355
Jarndyce,0.04862078064200753,0.45986845409361443,0.6580680955905185,0.0,0.2651151960311779,0.09367925403260599,0.12891250803662913,0.2299075772159812,0.09328239492582159,0.058289891025743515
Snagsby,0.12924824554832923,0.16183055974500513,0.37486290808328726,0.2651151960311779,0.0,0.30948013772074356,0.2407993193281984,0.1301907185484646,0.10396026190454728,0.21188490146307337
Ada,0.014172277760674633,0.3934327227996104,0.6084415684191324,0.09367925403260599,0.30948013772074356,0.0,0.1770348853362269,0.30824392195112615,0.13296651484555339,0.15513432752785644
Guppy,0.11281693610331225,0.33455908004080404,0.578682799302294,0.12891250803662913,0.2407993193281984,0.1770348853362269,0.0,0.26253311069359764,0.15723962776705475,0.1380408760757011
Leicester,0.0813151632101553,0.18342129875302798,0.3218680931888965,0.2299075772159812,0.1301907185484646,0.30824392195112615,0.26253311069359764,0.0,0.11473232472983412,0.22404885053701235
Tulkinghorn,0.08777132706769894,0.22815412194029794,0.4732142578548249,0.09328239492582159,0.10396026190454728,0.13296651484555339,0.15723962776705475,0.11473232472983412,0.0,0.3016137551390209
Charley,0.08516041589671405,0.2596665633898846,0.6025303798805355,0.058289891025743515,0.21188490146307337,0.15513432752785644,0.1380408760757011,0.22404885053701235,0.3016137551390209,0.0
