,Micawber,Copperfield,Dora,Steerforth,Peggotty,Traddles,Dick,Wickfield,Uriah,Miss Murdstone
Micawber,0.0,0.1846590436129325,0.36378211952160633,0.11877854768649893,0.2955691190949773,0.03207276162660826,0.10426446031696249,0.0729523309179256,0.037832065096831714,0.13152233971066596
Copperfield,0.1846590436129325,0.0,0.2517815566957055,0.12293847795108387,0.1336822979761428,0.020786282899703544,0.10166129903032489,0.039856692955184694,0.01267595432833845,0.03339210725140265
Dora,0.36378211952160633,0.2517815566957055,0.0,0.322715538167725,0.1317202519122539,0.26794029895525123,0.047133404610201046,0.05495939263551623,0.045855062786554775,0.0182768084423087
Steerforth,0.11877854768649893,0.12293847795108387,0.322715538167725,0.0,0.38303839246520577,0.11185211116723773,0.28545475187493174,0.1855889567764712,0.12953554578357668,0.12922724770146735
Peggotty,0.2955691190949773,0.1336822979761428,0.1317202519122539,0.38303839246520577,0.0,0.4255025226000243,0.298396237054227,0.1871990839600104,0.10268317891554218,0.0993343727825764
Traddles,0.03207276162660826,0.020786282899703544,0.26794029895525123,0.11185211116723773,0.4255025226000243,0.0,0.383660068622177,0.25045556160948623,0.13925468048885595,0.19536798119087168
Dick,0.10426446031696249,0.10166129903032489,0.047133404610201046,0.28545475187493174,0.298396237054227,0.383660068622177,0.0,0.08739448066460359,0.17783840369918677,0.21847852352741567
Wickfield,0.0729523309179256,0.039856692955184694,0.05495939263551623,0.1855889567764712,0.1871990839600104,0.25045556160948623,0.08739448066460359,0.0,0.1098035319071486,0.3007098305368413
Uriah,0.037832065096831714,0.01267595432833845,0.045855062786554775,0.12953554578357668,0.10268317891554218,0.13925468048885595,0.17783840369918677,0.1098035319071486,0.0,0.3006989094999013
Miss Murdstone,0.13152233971066596,0.03339210725140265,0.0182768084423087,0.12922724770146735,0.0993343727825764,0.19536798119087168,0.21847852352741567,0.3007098305368413,0.3006989094999013,0.0
