,Micawber,Copperfield,Dora,Steerforth,Peggotty,Traddles,Dick,Wickfield,Uriah,Miss Murdstone
Micawber,0.0,0.17100129774699407,0.3312038373736582,0.1064011632801336,0.28774532326554914,0.029537298763187038,0.09469641942526191,0.06558651431088874,0.03443083007620786,0.1254657231960123
Copperfield,0.17100129774699407,0.0,0.22566324713155092,0.10838675909032043,0.13247979536242493,0.01814025184648909,0.0915317441833973,0.03548478153116913,0.011321978346289462,0.03170344897380922
Dora,0.3312038373736582,0.22566324713155092,0.0,0.28525898172045916,0.1286239626383099,0.23342367373338913,0.042534834575455926,0.04924491999808983,0.04096744660733773,0.0174555405431792
Steerforth,0.1064011632801336,0.10838675909032043,0.28525898172045916,0.0,0.3611093045521846,0.1000922917547234,0.2540450356127443,0.16754789947972368,0.11855801782223648,0.12182228043791436
Peggotty,0.28774532326554914,0.13247979536242493,0.1286239626383099,0.3611093045521846,0.0,0.3854494756554159,0.27309588272005314,0.16559004235668018,0.09164898992930084,0.09270201881148506
Traddles,0.029537298763187038,0.01814025184648909,0.23342367373338913,0.1000922917547234,0.3854494756554159,0.0,0.33620013776621555,0.22619678518379818,0.12488850844924305,0.18040166531933938
Dick,0.09469641942526191,0.0915317441833973,0.042534834575455926,0.2540450356127443,0.27309588272005314,0.33620013776621555,0.0,0.07862090460821933,0.15784391638225675,0.2025279845258891
Wickfield,0.06558651431088874,0.03548478153116913,0.04924491999808983,0.16754789947972368,0.16559004235668018,0.22619678518379818,0.07862090460821933,0.0,0.09664470877958475,0.2816756224448822
Uriah,0.03443083007620786,0.011321978346289462,0.04096744660733773,0.11855801782223648,0.09164898992930084,0.12488850844924305,0.15784391638225675,0.09664470877958475,0.0,0.2814746257732037
Miss Murdstone,0.1254657231960123,0.03170344897380922,0.0174555405431792,0.12182228043791436,0.09270201881148506,0.18040166531933938,0.2025279845258891,0.2816756224448822,0.2814746257732037,0.0
