,Micawber,Copperfield,Dora,Steerforth,Peggotty,Traddles,Dick,Wickfield,Uriah,Miss Murdstone
Micawber,0.0,0.19808095999505224,0.3964773344094339,0.1318110084009299,0.30209154592926785,0.03469730567336399,0.11379361742800904,0.08040598292414364,0.04122804125435357,0.13687311234070748
Copperfield,0.19808095999505224,0.0,0.2788099112141173,0.13829350345907607,0.13456957571883635,0.023651095485205532,0.11186416652769109,0.04432962168771136,0.014070303591582418,0.034962480936058304
Dora,0.3964773344094339,0.2788099112141173,0.0,0.3618334388753621,0.13506738371069493,0.304687677606776,0.05178688554557675,0.06077681759658807,0.05090864812529891,0.018981270609614923
Steerforth,0.1318110084009299,0.13829350345907607,0.3618334388753621,0.0,0.4045535317478894,0.1242221906189083,0.3178417527796818,0.20379247190449884,0.14037273718864168,0.1364778722645974
Peggotty,0.30209154592926785,0.13456957571883635,0.13506738371069493,0.4045535317478894,0.0,0.46693484515545547,0.3238774145275767,0.20972947719857793,0.11412200412263902,0.10605906130689462
Traddles,0.03469730567336399,0.023651095485205532,0.304687677606776,0.1242221906189083,0.46693484515545547,0.0,0.4338043887234321,0.2751786312134914,0.1540597479542468,0.20988758888858675
Dick,0.11379361742800904,0.11186416652769109,0.05178688554557675,0.3178417527796818,0.3238774145275767,0.4338043887234321,0.0,0.0963242849269332,0.19861071637024472,0.23395552980248102
Wickfield,0.08040598292414364,0.04432962168771136,0.06077681759658807,0.20379247190449884,0.20972947719857793,0.2751786312134914,0.0963242849269332,0.0,0.12360473156704013,0.3184670250106274
Uriah,0.04122804125435357,0.014070303591582418,0.05090864812529891,0.14037273718864168,0.11412200412263902,0.1540597479542468,0.19861071637024472,0.12360473156704013,0.0,0.31864897883552945
Miss Murdstone,0.13687311234070748,0.034962480936058304,0.018981270609614923,0.1364778722645974,0.10605906130689462,0.20988758888858675,0.23395552980248102,0.3184670250106274,0.31864897883552945,0.0
