,Joe,Herbert,Havisham,Wemmick,Jaggers,Pip,Estella,Wopsle,Pumblechook,Pocket
Joe,0.0,0.0595810370892862,0.03960863562646737,0.08466478025719085,0.10840113790725098,0.015963755349895352,0.015902752660237433,0.008171618245009515,0.01583905450289699,0.1752526277544718
Herbert,0.0595810370892862,0.0,0.14819369597954155,0.10420382256352992,0.07146169496961907,0.033458624165739234,0.0860479417638465,0.03989161699799223,0.07468091196054735,0.07238253916906366
Havisham,0.03960863562646737,0.14819369597954155,0.0,0.2419377653541982,0.15442159002586842,0.06204730160716078,0.012595501635993512,0.09216923314528934,0.025327254895055905,0.1875091432256682
Wemmick,0.08466478025719085,0.10420382256352992,0.2419377653541982,0.0,0.0898171961055316,0.055863939276720245,0.12403292496885351,0.0853942384218208,0.0849685276358152,0.09858243085832656
Jaggers,0.10840113790725098,0.07146169496961907,0.15442159002586842,0.0898171961055316,0.0,0.11177037101389983,0.19311904522886683,0.17551180563443974,0.1152160882559867,0.1070305138200929
Pip,0.015963755349895352,0.033458624165739234,0.06204730160716078,0.055863939276720245,0.11177037101389983,0.0,0.13731543308599437,0.17363676464949673,0.09138685196188101,0.4633143738032247
Estella,0.015902752660237433,0.0860479417638465,0.012595501635993512,0.12403292496885351,0.19311904522886683,0.13731543308599437,0.0,0.21374216627685433,0.09522497439428529,0.5440146298478843
Wopsle,0.008171618245009515,0.03989161699799223,0.09216923314528934,0.0853942384218208,0.17551180563443974,0.17363676464949673,0.21374216627685433,0.0,0.22606935233838055,0.6426940304094242
Pumblechook,0.01583905450289699,0.07468091196054735,0.025327254895055905,0.0849685276358152,0.1152160882559867,0.09138685196188101,0.09522497439428529,0.22606935233838055,0.0,0.5292534285808478
Pocket,0.1752526277544718,0.07238253916906366,0.1875091432256682,0.09858243085832656,0.1070305138200929,0.4633143738032247,0.5440146298478843,0.6426940304094242,0.5292534285808478,0.0
