,Joe,Herbert,Havisham,Wemmick,Jaggers,Pip,Estella,Wopsle,Pumblechook,Pocket
Joe,0.0,0.051830463221177354,0.03552607290987827,0.07405668671068918,0.09458098570703093,0.014043616062495792,0.014866937502914393,0.007438853261253471,0.014337806246084446,0.1496545895721083
Herbert,0.051830463221177354,0.0,0.13648234634149897,0.09499561745742036,0.06393874601237604,0.03245870258615052,0.08073973654196251,0.03805609011758415,0.06915929468884759,0.062083319160510436
Havisham,0.03552607290987827,0.13648234634149897,0.0,0.21741508285648778,0.13664635077866097,0.05815262945107517,0.012587208771146738,0.08862279570527935,0.024416766916719863,0.16088768744267232
Wemmick,0.07405668671068918,0.09499561745742036,0.21741508285648778,0.0,0.07954752717155497,0.05303474060052672,0.1123822300997171,0.07983995858983355,0.0779702812839893,0.08533354926478283
Jaggers,0.09458098570703093,0.06393874601237604,0.13664635077866097,0.07954752717155497,0.0,0.10396313311954536,0.1757143980398635,0.16318180860157433,0.10564950373509688,0.09320914107789922
Pip,0.014043616062495792,0.03245870258615052,0.05815262945107517,0.05303474060052672,0.10396313311954536,0.0,0.12550352801572354,0.15633230152767716,0.08321677050196934,0.412486881141245
Estella,0.014866937502914393,0.08073973654196251,0.012587208771146738,0.1123822300997171,0.1757143980398635,0.12550352801572354,0.0,0.19396896955867043,0.08609632433964143,0.4805705622892311
Wopsle,0.007438853261253471,0.03805609011758415,0.08862279570527935,0.07983995858983355,0.16318180860157433,0.15633230152767716,0.19396896955867043,0.0,0.2013485974455398,0.5720294699684073
Pumblechook,0.014337806246084446,0.06915929468884759,0.024416766916719863,0.0779702812839893,0.10564950373509688,0.08321677050196934,0.08609632433964143,0.2013485974455398,0.0,0.4705281261464288
Pocket,0.1496545895721083,0.062083319160510436,0.16088768744267232,0.08533354926478283,0.09320914107789922,0.412486881141245,0.4805705622892311,0.5720294699684073,0.4705281261464288,0.0
