,Joe,Herbert,Havisham,Wemmick,Jaggers,Pip,Estella,Wopsle,Pumblechook,Pocket
Joe,0.0,0.06793400544483594,0.043805034356956,0.0960341456622113,0.1230600063981844,0.018026441351021404,0.016892568071156494,0.00891039925252239,0.017407819665870822,0.20319825684487758
Herbert,0.06793400544483594,0.0,0.15996754726889217,0.11374130204265917,0.07933806037919353,0.03433234336835001,0.09117712106645356,0.04157680769734792,0.0801120378998939,0.08360367793286913
Havisham,0.043805034356956,0.15996754726889217,0.0,0.2674172315642665,0.17309353093245847,0.0660136352939184,0.012524014112153517,0.09547861361121976,0.02616576235807664,0.21644849807563227
Wemmick,0.0960341456622113,0.11374130204265917,0.2674172315642665,0.0,0.10069768076407168,0.05866954715150499,0.13608790796058703,0.09082225178052306,0.09235257964043182,0.11298716737215526
Jaggers,0.1230600063981844,0.07933806037919353,0.17309353093245847,0.10069768076407168,0.0,0.11939113718292452,0.21095002021590903,0.18768581854799565,0.12495841113554115,0.121887061194105
Pip,0.018026441351021404,0.03433234336835001,0.0660136352939184,0.05866954715150499,0.11939113718292452,0.0,0.14969800967354713,0.1917332394405447,0.09984709115501907,0.5158105724170852
Estella,0.016892568071156494,0.09117712106645356,0.012524014112153517,0.13608790796058703,0.21095002021590903,0.14969800967354713,0.0,0.23432265729959295,0.10479192348813908,0.6102458658462155
Wopsle,0.00891039925252239,0.04157680769734792,0.09547861361121976,0.09082225178052306,0.18768581854799565,0.1917332394405447,0.23432265729959295,0.0,0.2522021270412562,0.7156371111449331
Pumblechook,0.017407819665870822,0.0801120378998939,0.02616576235807664,0.09235257964043182,0.12495841113554115,0.09984709115501907,0.10479192348813908,0.2522021270412562,0.0,0.5900484264732385
Pocket,0.20319825684487758,0.08360367793286913,0.21644849807563227,0.11298716737215526,0.121887061194105,0.5158105724170852,0.6102458658462155,0.7156371111449331,0.5900484264732385,0.0
