,Bounderby,Sparsit,Louisa,Gradgrind,Tom,Rachael,Harthouse,Thquire,James Harthouse,Tom Gradgrind
Bounderby,0.0,0.07883153754686978,0.04772908966804534,0.014680025730187871,0.04161828641517333,0.034908862770252944,0.008752937369631269,0.018942529588909494,0.007621245024434384,0.0020978075410084556
Sparsit,0.07883153754686978,0.0,0.09289204461863246,0.1842554385504181,0.10294103520463646,0.12497998772633438,0.08583967496212815,0.06081443418240259,0.06384785781447264,0.04529572130110963
Louisa,0.04772908966804534,0.09289204461863246,0.0,0.13617490900251752,0.09909780711239052,0.08939873371693782,0.053938671818589204,0.09398855611629352,0.027513960726068314,0.009465145052761711
Gradgrind,0.014680025730187871,0.1842554385504181,0.13617490900251752,0.0,0.10892471832425708,0.08868995412158164,0.028034888854774453,0.028332973881657522,0.027396386139061583,0.008063545435431838
Tom,0.04161828641517333,0.10294103520463646,0.09909780711239052,0.10892471832425708,0.0,0.22176354793242997,0.025115312059446282,0.050754676401446215,0.035027680273496564,0.048803726031337355
Rachael,0.034908862770252944,0.12497998772633438,0.08939873371693782,0.08868995412158164,0.22176354793242997,0.0,0.19377929352510426,0.2763032941987493,0.11316620993461714,0.09617908273287111
Harthouse,0.008752937369631269,0.08583967496212815,0.053938671818589204,0.028034888854774453,0.025115312059446282,0.19377929352510426,0.0,0.2714964200259434,0.10540578473667477,0.1661512031520261
Thquire,0.018942529588909494,0.06081443418240259,0.09398855611629352,0.028332973881657522,0.050754676401446215,0.2763032941987493,0.2714964200259434,0.0,0.22503139509449344,0.38110398294241726
James Harthouse,0.007621245024434384,0.06384785781447264,0.027513960726068314,0.027396386139061583,0.035027680273496564,0.11316620993461714,0.10540578473667477,0.22503139509449344,0.0,0.18424147140408512
Tom Gradgrind,0.0020978075410084556,0.04529572130110963,0.009465145052761711,0.008063545435431838,0.048803726031337355,0.09617908273287111,0.1661512031520261,0.38110398294241726,0.18424147140408512,0.0
