,Bounderby,Sparsit,Louisa,Gradgrind,Tom,Rachael,Harthouse,Thquire,James Harthouse,Tom Gradgrind
Bounderby,0.0,0.07025940250519991,0.043930188874804474,0.013944393405112502,0.037489244936030786,0.034297140062674605,0.008151898355835437,0.01630197891646215,0.006750437556814145,0.001881201282915795
Sparsit,0.07025940250519991,0.0,0.08652081070113869,0.1757202529425121,0.0945987107015444,0.12266155678438878,0.08095239267566108,0.052011702134756796,0.055782706009339066,0.04005000108021354
Louisa,0.043930188874804474,0.08652081070113869,0.0,0.12913010882908818,0.08898421393544789,0.08277994229094827,0.05207757145008773,0.08374450372153405,0.024542618365430605,0.008377513830752668
Gradgrind,0.013944393405112502,0.1757202529425121,0.12913010882908818,0.0,0.0977911509863472,0.07933528975243465,0.02551993423560692,0.02502746574320778,0.023880519126258683,0.007305579924956447
Tom,0.037489244936030786,0.0945987107015444,0.08898421393544789,0.0977911509863472,0.0,0.20249668667648052,0.02272295851356408,0.04534512043005983,0.03102751361362125,0.04323336522340707
Rachael,0.034297140062674605,0.12266155678438878,0.08277994229094827,0.07933528975243465,0.20249668667648052,0.0,0.19094568643018883,0.2540426565552777,0.10655767020521284,0.08944508584947634
Harthouse,0.008151898355835437,0.08095239267566108,0.05207757145008773,0.02551993423560692,0.02272295851356408,0.19094568643018883,0.0,0.2382361247721662,0.09316201875991398,0.14640578646664035
Thquire,0.01630197891646215,0.052011702134756796,0.08374450372153405,0.02502746574320778,0.04534512043005983,0.2540426565552777,0.2382361247721662,0.0,0.2031642380624927,0.33381020876218415
James Harthouse,0.006750437556814145,0.055782706009339066,0.024542618365430605,0.023880519126258683,0.03102751361362125,0.10655767020521284,0.09316201875991398,0.2031642380624927,0.0,0.1619886033329814
Tom Gradgrind,0.001881201282915795,0.04005000108021354,0.008377513830752668,0.007305579924956447,0.04323336522340707,0.08944508584947634,0.14640578646664035,0.33381020876218415,0.1619886033329814,0.0
