,Bounderby,Sparsit,Louisa,Gradgrind,Tom,Rachael,Harthouse,Thquire,James Harthouse,Tom Gradgrind
Bounderby,0.0,0.0876313741326834,0.051449525252534364,0.015461351772761058,0.045895860078013884,0.03566346077011481,0.009330703860722855,0.021838943683769766,0.008530477980215794,0.0023205435761066815
Sparsit,0.0876313741326834,0.0,0.09927612615572778,0.19217879440744928,0.11146380449905363,0.1270890338577421,0.09051485329737621,0.07045642267556758,0.07259381932955974,0.050804983993669346
Louisa,0.051449525252534364,0.09927612615572778,0.0,0.14273954455295554,0.10966602747016851,0.09669526372850282,0.055449080019629705,0.10480639858601094,0.030621869789292874,0.010602775087055417
Gradgrind,0.015461351772761058,0.19217879440744928,0.14273954455295554,0.0,0.1204043079748374,0.09889570317675278,0.030581669293243772,0.031866744772063436,0.0311554918397973,0.008831326986097633
Tom,0.045895860078013884,0.11146380449905363,0.10966602747016851,0.1204043079748374,0.0,0.2421704494421489,0.027571667151096022,0.05646390629522666,0.03922470445827618,0.05461639778152271
Rachael,0.03566346077011481,0.1270890338577421,0.09669526372850282,0.09889570317675278,0.2421704494421489,0.0,0.19617507174038185,0.29941113517578816,0.11997500115289646,0.10263119450494121
Harthouse,0.009330703860722855,0.09051485329737621,0.055449080019629705,0.030581669293243772,0.027571667151096022,0.19617507174038185,0.0,0.30683902222112885,0.11816702012073212,0.18682043257635148
Thquire,0.021838943683769766,0.07045642267556758,0.10480639858601094,0.031866744772063436,0.05646390629522666,0.29941113517578816,0.30683902222112885,0.0,0.24738864643682865,0.4314337815710674
James Harthouse,0.008530477980215794,0.07259381932955974,0.030621869789292874,0.0311554918397973,0.03922470445827618,0.11997500115289646,0.11816702012073212,0.24738864643682865,0.0,0.20775615607936346
Tom Gradgrind,0.0023205435761066815,0.050804983993669346,0.010602775087055417,0.008831326986097633,0.05461639778152271,0.10263119450494121,0.18682043257635148,0.4314337815710674,0.20775615607936346,0.0
