,Nicholas,Ralph,Nickleby,Kate,Squeers,Newman,Kenwigs,Mulberry,Crummles,Smike
Nicholas,0.0,0.029622797906624764,0.028521805736170327,0.02643605872718212,0.01684288797463522,0.009851969533452583,0.015864429810156195,0.03846694579493312,0.0016451740000677068,0.0013923488670057242
Ralph,0.029622797906624764,0.0,0.08128223662010914,0.0689599893517342,0.11510122047942428,0.04422402731744912,0.06091759206271621,0.023620605558855454,0.04650328888240433,0.032417612378984204
Nickleby,0.028521805736170327,0.08128223662010914,0.0,0.047169688841157784,0.05084800203636195,0.035593076085235556,0.09570675226894795,0.017521923132026378,0.07803618049962358,0.02211584635924607
Kate,0.02643605872718212,0.0689599893517342,0.047169688841157784,0.0,0.21132636513155761,0.04614305441403405,0.13716740341117095,0.049579273413006886,0.08567464233383316,0.03741362007052064
Squeers,0.01684288797463522,0.11510122047942428,0.05084800203636195,0.21132636513155761,0.0,0.2722369198596747,0.20471056430269619,0.3991928688018527,0.4251499393223624,0.08018234586448669
Newman,0.009851969533452583,0.04422402731744912,0.035593076085235556,0.04614305441403405,0.2722369198596747,0.0,0.17239558117918605,0.19998376541131502,0.19570777597152406,0.058780081513183015
Kenwigs,0.015864429810156195,0.06091759206271621,0.09570675226894795,0.13716740341117095,0.20471056430269619,0.17239558117918605,0.0,0.5101286449818752,0.48564519897434577,0.2000074555565613
Mulberry,0.03846694579493312,0.023620605558855454,0.017521923132026378,0.049579273413006886,0.3991928688018527,0.19998376541131502,0.5101286449818752,0.0,0.15839147246700847,0.39428399662754465
Crummles,0.0016451740000677068,0.04650328888240433,0.07803618049962358,0.08567464233383316,0.4251499393223624,0.19570777597152406,0.48564519897434577,0.15839147246700847,0.0,0.5466626236171195
Smike,0.0013923488670057242,0.032417612378984204,0.02211584635924607,0.03741362007052064,0.08018234586448669,0.058780081513183015,0.2000074555565613,0.39428399662754465,0.5466626236171195,0.0
