,Nicholas,Ralph,Nickleby,Kate,Squeers,Newman,Kenwigs,Mulberry,Crummles,Smike
Nicholas,0.0,0.027584515905754944,0.026020851504431786,0.02355053550257763,0.01563028404806035,0.009170441668614405,0.014765250281597753,0.033264319872609624,0.0014222702399428813,0.0013106561968283428
Ralph,0.027584515905754944,0.0,0.07466029063390693,0.06192516585021594,0.11107381175164432,0.03954386438726487,0.05767181181916395,0.020281010777509115,0.040222825342893606,0.030424136335642192
Nickleby,0.026020851504431786,0.07466029063390693,0.0,0.04110790742869394,0.04920907807574755,0.03177184828501067,0.08814778600739047,0.015472514165313447,0.06714451191615142,0.02031233157712329
Kate,0.02355053550257763,0.06192516585021594,0.04110790742869394,0.0,0.19831221157427487,0.042720023179370264,0.12994530469793003,0.044171613800314126,0.07353273571787113,0.035260562123090256
Squeers,0.01563028404806035,0.11107381175164432,0.04920907807574755,0.19831221157427487,0.0,0.2480233529687117,0.18812212932547379,0.3566402749339477,0.3806730620026957,0.07076123183172331
Newman,0.009170441668614405,0.03954386438726487,0.03177184828501067,0.042720023179370264,0.2480233529687117,0.0,0.1618276427550494,0.17577847488839798,0.170084761340136,0.05399267833886008
Kenwigs,0.014765250281597753,0.05767181181916395,0.08814778600739047,0.12994530469793003,0.18812212932547379,0.1618276427550494,0.0,0.44964125106405917,0.4272929314678918,0.1838943396290293
Mulberry,0.033264319872609624,0.020281010777509115,0.015472514165313447,0.044171613800314126,0.3566402749339477,0.17577847488839798,0.44964125106405917,0.0,0.1368212569038881,0.3571433296456412
Crummles,0.0014222702399428813,0.040222825342893606,0.06714451191615142,0.07353273571787113,0.3806730620026957,0.170084761340136,0.4272929314678918,0.1368212569038881,0.0,0.4982181976712429
Smike,0.0013106561968283428,0.030424136335642192,0.02031233157712329,0.035260562123090256,0.07076123183172331,0.05399267833886008,0.1838943396290293,0.3571433296456412,0.4982181976712429,0.0
