,Nicholas,Ralph,Nickleby,Kate,Squeers,Newman,Kenwigs,Mulberry,Crummles,Smike
Nicholas,0.0,0.03195632828756349,0.031267080432862714,0.029427264882565765,0.018086309638968765,0.010624831514424275,0.016923550868408223,0.044140258436710655,0.0018845033581689128,0.0014715450836133512
Ralph,0.03195632828756349,0.0,0.08805911954928482,0.07618858442710721,0.11840877689428836,0.04913240077320811,0.06416149265464544,0.0272606592022678,0.05324015760108727,0.03429710415810954
Nickleby,0.031267080432862714,0.08805911954928482,0.0,0.05364224960657156,0.05209426438041834,0.03957131460811712,0.10322580725193169,0.01969994141216564,0.08979694636737365,0.023914366360211284
Kate,0.029427264882565765,0.07618858442710721,0.05364224960657156,0.0,0.2235197980590472,0.0496776652877249,0.14417928993842077,0.05539446516691705,0.09883200489994104,0.03943711234079538
Squeers,0.018086309638968765,0.11840877689428836,0.05209426438041834,0.2235197980590472,0.0,0.29675506511434163,0.22118736820378676,0.4428724802974417,0.47048895406635255,0.09027466514561594
Newman,0.010624831514424275,0.04913240077320811,0.03957131460811712,0.0496776652877249,0.29675506511434163,0.0,0.1829696060467414,0.2255936961027306,0.2230774937641169,0.06372528374859521
Kenwigs,0.016923550868408223,0.06416149265464544,0.10322580725193169,0.14417928993842077,0.22118736820378676,0.1829696060467414,0.0,0.5737857243157379,0.5467093417354868,0.2167239798092349
Mulberry,0.044140258436710655,0.0272606592022678,0.01969994141216564,0.05539446516691705,0.4428724802974417,0.2255936961027306,0.5737857243157379,0.0,0.18161722979705247,0.4320388799044239
Crummles,0.0018845033581689128,0.05324015760108727,0.08979694636737365,0.09883200489994104,0.47048895406635255,0.2230774937641169,0.5467093417354868,0.18161722979705247,0.0,0.5952181452508942
Smike,0.0014715450836133512,0.03429710415810954,0.023914366360211284,0.03943711234079538,0.09027466514561594,0.06372528374859521,0.2167239798092349,0.4320388799044239,0.5952181452508942,0.0
