,Oliver,Bumble,Sikes,Fagin,Brownlow,Noah,Rose,Nancy,Giles,Sowerberry
Oliver,0.0,0.044122850921201655,0.08261249341560711,0.054651479551274945,0.018309368783179313,0.008665298683894053,0.006210740762209152,0.012254515328837028,0.021869533243706583,0.004630058864334253
Bumble,0.044122850921201655,0.0,0.39758750822103445,0.2330032397411656,0.07501776126749146,0.06557226175460064,0.08440996426783408,0.12363166960114633,0.05293598772298566,0.05939399788515419
Sikes,0.08261249341560711,0.39758750822103445,0.0,0.05057190054308791,0.05806613538115058,0.1573387386268242,0.21522376437605928,0.007698770446542651,0.5165627404039915,0.48233130813221015
Fagin,0.054651479551274945,0.2330032397411656,0.05057190054308791,0.0,0.06660106012057662,0.1552656297781705,0.25142344069662703,0.014110317565993794,0.5408015486658159,0.5298507183328769
Brownlow,0.018309368783179313,0.07501776126749146,0.05806613538115058,0.06660106012057662,0.0,0.21218601928874908,0.26418396112767456,0.09160663521818355,0.5158223461843822,0.5150182282378087
Noah,0.008665298683894053,0.06557226175460064,0.1573387386268242,0.1552656297781705,0.21218601928874908,0.0,0.17350468843022157,0.20454056010653227,0.4616063665146229,0.3483618170370403
Rose,0.006210740762209152,0.08440996426783408,0.21522376437605928,0.25142344069662703,0.26418396112767456,0.17350468843022157,0.0,0.37642727657898883,0.4126335602413909,0.27134177452948205
Nancy,0.012254515328837028,0.12363166960114633,0.007698770446542651,0.014110317565993794,0.09160663521818355,0.20454056010653227,0.37642727657898883,0.0,0.7123323033463363,0.6453964235863041
Giles,0.021869533243706583,0.05293598772298566,0.5165627404039915,0.5408015486658159,0.5158223461843822,0.4616063665146229,0.4126335602413909,0.7123323033463363,0.0,0.31439963267681253
Sowerberry,0.004630058864334253,0.05939399788515419,0.48233130813221015,0.5298507183328769,0.5150182282378087,0.3483618170370403,0.27134177452948205,0.6453964235863041,0.31439963267681253,0.0
