,Oliver,Bumble,Sikes,Fagin,Brownlow,Noah,Rose,Nancy,Giles,Sowerberry
Oliver,0.0,0.05651772069518243,0.10621873109926082,0.07118546750469598,0.02478026074758359,0.010829585977718756,0.007735505761235908,0.015239128983240226,0.021624330042577477,0.004713543504302466
Bumble,0.05651772069518243,0.0,0.4721864781024262,0.2872096845114598,0.09287931701193432,0.08107569389736868,0.10188515288970927,0.15438565526488862,0.050072927281233706,0.061648437020530425
Sikes,0.10621873109926082,0.4721864781024262,0.0,0.06529296707360391,0.07296213813523861,0.17490725605401714,0.2382114217902807,0.009308201930066394,0.5471537385744485,0.5347062774848165
Fagin,0.07118546750469598,0.2872096845114598,0.06529296707360391,0.0,0.08315336769442178,0.1725014916172757,0.28215337261961465,0.017405954911026637,0.5754394933243213,0.592887012220111
Brownlow,0.02478026074758359,0.09287931701193432,0.07296213813523861,0.08315336769442178,0.0,0.24792540062548188,0.3021074556648692,0.11830133815495547,0.5461620904764758,0.5777273093499317
Noah,0.010829585977718756,0.08107569389736868,0.17490725605401714,0.1725014916172757,0.24792540062548188,0.0,0.20251439142520544,0.24016065242571838,0.5076558029640246,0.39460948613992985
Rose,0.007735505761235908,0.10188515288970927,0.2382114217902807,0.28215337261961465,0.3021074556648692,0.20251439142520544,0.0,0.4435957795084334,0.45634341076947815,0.2951121384721069
Nancy,0.015239128983240226,0.15438565526488862,0.009308201930066394,0.017405954911026637,0.11830133815495547,0.24016065242571838,0.4435957795084334,0.0,0.7974666540080823,0.7352572946200077
Giles,0.021624330042577477,0.050072927281233706,0.5471537385744485,0.5754394933243213,0.5461620904764758,0.5076558029640246,0.45634341076947815,0.7974666540080823,0.0,0.329815932311308
Sowerberry,0.004713543504302466,0.061648437020530425,0.5347062774848165,0.592887012220111,0.5777273093499317,0.39460948613992985,0.2951121384721069,0.7352572946200077,0.329815932311308,0.0
