,Pickwick,Sam,Weller,Winkle,Tupman,Bob Sawyer,Snodgrass,Sammy,Pott,Bardell
Pickwick,0.0,0.01509438823320429,0.013184116780138054,0.007327032450717686,0.00233074661253458,0.0017995661045529408,0.0029538339476375105,0.008188950429222411,0.006457256254793135,0.002245996242543449
Sam,0.01509438823320429,0.0,0.03647967683486504,0.05110351437185749,0.01892986805247336,0.023120463139519223,0.025843906796022373,0.003478092027173155,0.009318387679453678,0.019901832694286137
Weller,0.013184116780138054,0.03647967683486504,0.0,0.2848727591976145,0.13077678907094853,0.04117634917701092,0.058015117835635725,0.0009295410434396855,0.023684169517875858,0.027412620816479005
Winkle,0.007327032450717686,0.05110351437185749,0.2848727591976145,0.0,0.03900201741492126,0.06681871268614238,0.017641225383728993,0.0811269652674809,0.07504020211669159,0.033106779438359504
Tupman,0.00233074661253458,0.01892986805247336,0.13077678907094853,0.03900201741492126,0.0,0.12602308327898742,0.024854156051703963,0.22533168806918183,0.19261702247775353,0.08021818650049196
Bob Sawyer,0.0017995661045529408,0.023120463139519223,0.04117634917701092,0.06681871268614238,0.12602308327898742,0.0,0.24662717232259426,0.2730918699876329,0.28623179732120335,0.14038766463757996
Snodgrass,0.0029538339476375105,0.025843906796022373,0.058015117835635725,0.017641225383728993,0.024854156051703963,0.24662717232259426,0.0,0.5044794104744543,0.5263366391700031,0.2256558662257588
Sammy,0.008188950429222411,0.003478092027173155,0.0009295410434396855,0.0811269652674809,0.22533168806918183,0.2730918699876329,0.5044794104744543,0.0,0.22416956196023202,0.12945906930906217
Pott,0.006457256254793135,0.009318387679453678,0.023684169517875858,0.07504020211669159,0.19261702247775353,0.28623179732120335,0.5263366391700031,0.22416956196023202,0.0,0.21553376081808515
Bardell,0.002245996242543449,0.019901832694286137,0.027412620816479005,0.033106779438359504,0.08021818650049196,0.14038766463757996,0.2256558662257588,0.12945906930906217,0.21553376081808515,0.0
