,Pickwick,Sam,Weller,Winkle,Tupman,Bob Sawyer,Snodgrass,Sammy,Pott,Bardell
Pickwick,0.0,0.018473260011936242,0.01747552921770704,0.007818755830471449,0.002410012660806682,0.0018526421082915073,0.0027858660546333444,0.010212751443876258,0.008287352175303691,0.0027918084625156384
Sam,0.018473260011936242,0.0,0.048836535169311024,0.051718488160981756,0.018486801097664846,0.023898841812466334,0.023603188761076217,0.004467508957051356,0.012006110406128546,0.022743660916164758
Weller,0.01747552921770704,0.048836535169311024,0.0,0.3217766493269344,0.14017435053858074,0.03956477515963495,0.05610475465433587,0.001172004771335044,0.02973609758606558,0.03094433232406041
Winkle,0.007818755830471449,0.051718488160981756,0.3217766493269344,0.0,0.044912394907354644,0.08749916373092521,0.022336431032704634,0.10622569083118678,0.09792493021961862,0.042982995801646454
Tupman,0.002410012660806682,0.018486801097664846,0.14017435053858074,0.044912394907354644,0.0,0.15591643554030848,0.02615470810788706,0.28405175189429893,0.23731595915884063,0.09960787220657721
Bob Sawyer,0.0018526421082915073,0.023898841812466334,0.03956477515963495,0.08749916373092521,0.15591643554030848,0.0,0.29416155886285383,0.3227745968515353,0.32838891879534593,0.1667255463409701
Snodgrass,0.0027858660546333444,0.023603188761076217,0.05610475465433587,0.022336431032704634,0.02615470810788706,0.29416155886285383,0.0,0.5896532936726855,0.606996507463064,0.262457605099008
Sammy,0.010212751443876258,0.004467508957051356,0.001172004771335044,0.10622569083118678,0.28405175189429893,0.3227745968515353,0.5896532936726855,0.0,0.2779604981708843,0.15558296732651397
Pott,0.008287352175303691,0.012006110406128546,0.02973609758606558,0.09792493021961862,0.23731595915884063,0.32838891879534593,0.606996507463064,0.2779604981708843,0.0,0.2544778475863466
Bardell,0.0027918084625156384,0.022743660916164758,0.03094433232406041,0.042982995801646454,0.09960787220657721,0.1667255463409701,0.262457605099008,0.15558296732651397,0.2544778475863466,0.0
