,Raskolnikov,Sonia,Katerina Ivanovna,Pyotr Petrovitch,Avdotya Romanovna,Porfiry,Razumihin,Svidrigaïlov,Porfiry Petrovitch,Marfa Petrovna
Raskolnikov,0.0,0.02906534348255209,0.012435805444809947,0.01320928270403007,0.02500123190042618,0.0013019312582674427,0.0045885956676968605,0.003862219175431341,0.0010234854410565513,0.005567285067034946
Sonia,0.02906534348255209,0.0,0.05763673082332413,0.052958045974554224,0.119832020028927,0.06525013764312426,0.03386645123678025,0.07334248399920125,0.06522311075022214,0.07298047884341032
Katerina Ivanovna,0.012435805444809947,0.05763673082332413,0.0,0.07549746383163092,0.15466176744794777,0.19353741800026672,0.14429122222196844,0.08854772036223875,0.18010234317373394,0.16966118386828744
Pyotr Petrovitch,0.01320928270403007,0.052958045974554224,0.07549746383163092,0.0,0.33946736961861546,0.26631816136692027,0.38228424207029943,0.2656282873947261,0.21530588160424818,0.16186412294466324
Avdotya Romanovna,0.02500123190042618,0.119832020028927,0.15466176744794777,0.33946736961861546,0.0,0.3146658834675683,0.1640069146699174,0.052000897568125634,0.31213717433058985,0.2854427213606803
Porfiry,0.0013019312582674427,0.06525013764312426,0.19353741800026672,0.26631816136692027,0.3146658834675683,0.0,0.2600458524543855,0.24661564321255275,0.04463439449193193,0.37899223115831415
Razumihin,0.0045885956676968605,0.03386645123678025,0.14429122222196844,0.38228424207029943,0.1640069146699174,0.2600458524543855,0.0,0.25048897905743,0.3738240564189771,0.6826554587835227
Svidrigaïlov,0.003862219175431341,0.07334248399920125,0.08854772036223875,0.2656282873947261,0.052000897568125634,0.24661564321255275,0.25048897905743,0.0,0.3319169514977564,0.4395635424549882
Porfiry Petrovitch,0.0010234854410565513,0.06522311075022214,0.18010234317373394,0.21530588160424818,0.31213717433058985,0.04463439449193193,0.3738240564189771,0.3319169514977564,0.0,0.3768066939452632
Marfa Petrovna,0.005567285067034946,0.07298047884341032,0.16966118386828744,0.16186412294466324,0.2854427213606803,0.37899223115831415,0.6826554587835227,0.4395635424549882,0.3768066939452632,0.0
