,Raskolnikov,Sonia,Katerina Ivanovna,Pyotr Petrovitch,Avdotya Romanovna,Porfiry,Razumihin,Svidrigaïlov,Porfiry Petrovitch,Marfa Petrovna
Raskolnikov,0.0,0.026494804224587516,0.011386664108757754,0.012215475516170632,0.021588556686804015,0.0011781453448406853,0.003945345821400387,0.003419244638655543,0.0009761810662352224,0.005475314652401962
Sonia,0.026494804224587516,0.0,0.051519472568029565,0.04941620419750075,0.10385319592971404,0.06042505925474699,0.029406105498512986,0.06406460820652643,0.060787200296379795,0.0725120273828112
Katerina Ivanovna,0.011386664108757754,0.051519472568029565,0.0,0.07066141155472391,0.13582081294220716,0.171270898961051,0.12469279356093371,0.07810347024672759,0.16213021810055028,0.16541936018979844
Pyotr Petrovitch,0.012215475516170632,0.04941620419750075,0.07066141155472391,0.0,0.30080935202701636,0.23428833348854688,0.33612005552710333,0.23473584730704738,0.19210443234558153,0.15649898017997127
Avdotya Romanovna,0.021588556686804015,0.10385319592971404,0.13582081294220716,0.30080935202701636,0.0,0.28882129535785006,0.14197594997190688,0.04595829851043706,0.2894269664040924,0.2677616771305296
Porfiry,0.0011781453448406853,0.06042505925474699,0.171270898961051,0.23428833348854688,0.28882129535785006,0.0,0.2337272230960963,0.22557797651193034,0.04189169094452661,0.3647385294800821
Razumihin,0.003945345821400387,0.029406105498512986,0.12469279356093371,0.33612005552710333,0.14197594997190688,0.2337272230960963,0.0,0.23185108881183245,0.3390385242899858,0.6382392086687351
Svidrigaïlov,0.003419244638655543,0.06406460820652643,0.07810347024672759,0.23473584730704738,0.04595829851043706,0.22557797651193034,0.23185108881183245,0.0,0.3043538922888349,0.41091160710621943
Porfiry Petrovitch,0.0009761810662352224,0.060787200296379795,0.16213021810055028,0.19210443234558153,0.2894269664040924,0.04189169094452661,0.3390385242899858,0.3043538922888349,0.0,0.36035023079512274
Marfa Petrovna,0.005475314652401962,0.0725120273828112,0.16541936018979844,0.15649898017997127,0.2677616771305296,0.3647385294800821,0.6382392086687351,0.41091160710621943,0.36035023079512274,0.0
