,Raskolnikov,Sonia,Katerina Ivanovna,Pyotr Petrovitch,Avdotya Romanovna,Porfiry,Razumihin,Svidrigaïlov,Porfiry Petrovitch,Marfa Petrovna
Raskolnikov,0.0,0.03164743644993009,0.013467162873202786,0.01417015022030317,0.028721603488317177,0.00142815428449331,0.005288727945337444,0.004343942923280687,0.0010752405108855555,0.00566770770849727
Sonia,0.03164743644993009,0.0,0.063913641787175,0.056334831247478206,0.13718143706028063,0.06986647522335267,0.03871364544267402,0.08352696001500279,0.06946255259541015,0.07347556061701359
Katerina Ivanovna,0.013467162873202786,0.063913641787175,0.0,0.08014485001333196,0.1747526348402884,0.21701705546979677,0.16557481919994194,0.09982618193636957,0.1987848451528976,0.1731968746888125
Pyotr Petrovitch,0.01417015022030317,0.056334831247478206,0.08014485001333196,0.0,0.3798231182512041,0.3001537707620935,0.4308611607485467,0.29812621384822746,0.2396969834553374,0.16700719308250223
Avdotya Romanovna,0.028721603488317177,0.13718143706028063,0.1747526348402884,0.3798231182512041,0.0,0.3413110901289679,0.18774003860210292,0.05854361836960037,0.3352010087311835,0.3025954249429867
Porfiry,0.00142815428449331,0.06986647522335267,0.21701705546979677,0.3001537707620935,0.3413110901289679,0.0,0.28705053721037604,0.268466177948051,0.04734716515450867,0.39189118661137734
Razumihin,0.005288727945337444,0.03871364544267402,0.16557481919994194,0.4308611607485467,0.18774003860210292,0.28705053721037604,0.0,0.26915254300245217,0.4086510017759004,0.7258688154235489
Svidrigaïlov,0.004343942923280687,0.08352696001500279,0.09982618193636957,0.29812621384822746,0.05854361836960037,0.268466177948051,0.26915254300245217,0.0,0.359893643786097,0.46739961626230053
Porfiry Petrovitch,0.0010752405108855555,0.06946255259541015,0.1987848451528976,0.2396969834553374,0.3352010087311835,0.04734716515450867,0.4086510017759004,0.359893643786097,0.0,0.392568780482203
Marfa Petrovna,0.00566770770849727,0.07347556061701359,0.1731968746888125,0.16700719308250223,0.3025954249429867,0.39189118661137734,0.7258688154235489,0.46739961626230053,0.392568780482203,0.0
